"","CLIMAT","OCEAN","CONTINENT","Lat","Long","LAT_mouth","LONG_mouth","soc_past","T_past","P_past","Area","Slope_deg","Debit_moyen","GRDC","LAT_file","LONG_file","future_file","region","DOC_hist_rcp26_gfdl_mean","DOC_hist_rcp26_gfdl_sd","DOC_hist_rcp26_hadgem_mean","DOC_hist_rcp26_hadgem_sd","DOC_hist_rcp26_ipsl_mean","DOC_hist_rcp26_ipsl_sd","DOC_hist_rcp26_miroc_mean","DOC_hist_rcp26_miroc_sd","DOC_hist_rcp26_noresm_mean","DOC_hist_rcp26_noresm_sd","DOC_hist_rcp85_gfdl_mean","DOC_hist_rcp85_gfdl_sd","DOC_hist_rcp85_hadgem_mean","DOC_hist_rcp85_hadgem_sd","DOC_hist_rcp85_ipsl_mean","DOC_hist_rcp85_ipsl_sd","DOC_hist_rcp85_miroc_mean","DOC_hist_rcp85_miroc_sd","DOC_hist_rcp85_noresm_mean","DOC_hist_rcp85_noresm_sd","DOC_fut_rcp26_gfdl_mean","DOC_fut_rcp26_gfdl_sd","DOC_fut_rcp26_hadgem_mean","DOC_fut_rcp26_hadgem_sd","DOC_fut_rcp26_ipsl_mean","DOC_fut_rcp26_ipsl_sd","DOC_fut_rcp26_miroc_mean","DOC_fut_rcp26_miroc_sd","DOC_fut_rcp26_noresm_mean","DOC_fut_rcp26_noresm_sd","DOC_fut_rcp85_gfdl_mean","DOC_fut_rcp85_gfdl_sd","DOC_fut_rcp85_hadgem_mean","DOC_fut_rcp85_hadgem_sd","DOC_fut_rcp85_ipsl_mean","DOC_fut_rcp85_ipsl_sd","DOC_fut_rcp85_miroc_mean","DOC_fut_rcp85_miroc_sd","DOC_fut_rcp85_noresm_mean","DOC_fut_rcp85_noresm_sd","Q_hist_rcp26_gfdl","Q_hist_rcp26_hadgem","Q_hist_rcp26_ipsl","Q_hist_rcp26_miroc","Q_hist_rcp26_noresm","Q_hist_rcp85_gfdl","Q_hist_rcp85_hadgem","Q_hist_rcp85_ipsl","Q_hist_rcp85_miroc","Q_hist_rcp85_noresm","Q_fut_rcp26_gfdl","Q_fut_rcp26_hadgem","Q_fut_rcp26_ipsl","Q_fut_rcp26_miroc","Q_fut_rcp26_noresm","Q_fut_rcp85_gfdl","Q_fut_rcp85_hadgem","Q_fut_rcp85_ipsl","Q_fut_rcp85_miroc","Q_fut_rcp85_noresm","PCP_hist_rcp26_gfdl","PCP_hist_rcp26_hadgem","PCP_hist_rcp26_ipsl","PCP_hist_rcp26_miroc","PCP_hist_rcp26_noresm","PCP_hist_rcp85_gfdl","PCP_hist_rcp85_hadgem","PCP_hist_rcp85_ipsl","PCP_hist_rcp85_miroc","PCP_hist_rcp85_noresm","PCP_fut_rcp26_gfdl","PCP_fut_rcp26_hadgem","PCP_fut_rcp26_ipsl","PCP_fut_rcp26_miroc","PCP_fut_rcp26_noresm","PCP_fut_rcp85_gfdl","PCP_fut_rcp85_hadgem","PCP_fut_rcp85_ipsl","PCP_fut_rcp85_miroc","PCP_fut_rcp85_noresm","TMP_hist_rcp26_gfdl","TMP_hist_rcp26_hadgem","TMP_hist_rcp26_ipsl","TMP_hist_rcp26_miroc","TMP_hist_rcp26_noresm","TMP_hist_rcp85_gfdl","TMP_hist_rcp85_hadgem","TMP_hist_rcp85_ipsl","TMP_hist_rcp85_miroc","TMP_hist_rcp85_noresm","TMP_fut_rcp26_gfdl","TMP_fut_rcp26_hadgem","TMP_fut_rcp26_ipsl","TMP_fut_rcp26_miroc","TMP_fut_rcp26_noresm","TMP_fut_rcp85_gfdl","TMP_fut_rcp85_hadgem","TMP_fut_rcp85_ipsl","TMP_fut_rcp85_miroc","TMP_fut_rcp85_noresm","SOC_hist_rcp26_gfdl","SOC_hist_rcp26_hadgem","SOC_hist_rcp26_ipsl","SOC_hist_rcp26_miroc","SOC_hist_rcp26_noresm","SOC_hist_rcp85_gfdl","SOC_hist_rcp85_hadgem","SOC_hist_rcp85_ipsl","SOC_hist_rcp85_miroc","SOC_hist_rcp85_noresm","SOC_fut_rcp26_gfdl","SOC_fut_rcp26_hadgem","SOC_fut_rcp26_ipsl","SOC_fut_rcp26_miroc","SOC_fut_rcp26_noresm","SOC_fut_rcp85_gfdl","SOC_fut_rcp85_hadgem","SOC_fut_rcp85_ipsl","SOC_fut_rcp85_miroc","SOC_fut_rcp85_noresm"
"Acarau","A","Atlantic Ocean","South America",-4.144372,-40.303264,-2.84,-40.14,4.35,25.742317,74.27907,14500,1.484893,52.8,"x",-2.75,-40.25,"Flow-2.75_-40.25.day",265,0.0202762813137483,0.00306318243419965,0.0214186672187065,0.00904317117750946,0.0109460344298301,0.00427997227199734,0.0148491681965632,0.00310202742974406,0.0252324909570645,0.00583318608195048,0.0202704080490345,0.0030369001863849,0.0210536031825322,0.00866877553034819,0.0109911555236247,0.0044141678079381,0.0148196230064617,0.00304874782494402,0.0246218365740946,0.0058927838352132,0.0191292849580045,0.0028416496875341,0.0274335004491136,0.0105720452170032,0.0158818103050212,0.00607934278370215,0.0108622070163728,0.00235924729483716,0.0206316907865756,0.00459197905447333,0.0235093078449859,0.00344620522725752,0.0363199146642676,0.0134265755875637,0.0224277783882029,0.00892592942454302,0.0105978149886497,0.00215489562011501,0.0181840710478795,0.00431566338648333,4.87894908828928,4.92245606234143,4.21435122447562,3.87687533978963,4.09054597822212,4.87894908828928,4.92245606234143,4.21435122447562,3.87687533978963,4.09054597822212,4.50270171758398,4.46374700673637,5.75309271371308,3.05007511893062,3.45259074911651,5.35644952383545,5.97153261777583,8.01131541834528,2.8060904731391,3.08249507740568,1352.15810498875,986.005981599389,1424.84249026547,1179.30550371165,1364.80684874518,1352.15810498875,986.005981599389,1424.84249026547,1179.30550371165,1364.80684874518,1340.50839141343,967.090236737656,1530.82121579159,1116.96912074375,1389.67476177105,1365.02228568195,946.671082986248,1710.51177973669,1122.0402120112,1291.05933734419,25.5400120666667,25.7194154333333,24.8853766666667,27.2965284666667,24.8801235,25.5400120666667,25.7194154333333,24.8853766666667,27.2965284666667,24.8801235,26.5005821034483,27.2587245862069,26.389742137931,28.6969156551724,25.7287214482759,28.3882378275862,29.9539329310345,29.6565807241379,31.0971137931034,27.9188073448276,3.34208378333333,7.03392045666667,3.262216334,7.31382498066667,4.85695853793333,3.34208378333333,7.03392045666667,3.262216334,7.31382498066667,4.85695853793333,3.86241167241379,7.57669312758621,3.86224362862069,5.33011734310345,4.56990691296552,4.15688445517241,8.98552135862069,4.02079264344828,7.44333536551724,4.79499192482759
"Alabama","C","Atlantic Ocean","North America",33.181989,-86.96193,30.66,-88.03,5.714324324,16.74316246,120.503856,59000,0.720052,950,"x",30.75,-88.25,"Flow31.25_-87.75.day",108,0.275069591961497,0.0400680104328046,0.385233291667604,0.128542146635206,0.231340507655098,0.0639644169952831,0.305466811717992,0.0559022586287527,0.423132563362319,0.136020255349596,0.274403075016976,0.0395305656240587,0.383973912885238,0.132660926104668,0.23172476705286,0.0651114698266604,0.305187761283359,0.0549748649980532,0.426718332907164,0.130113566897856,0.279732299666636,0.0399630311618319,0.391919633821865,0.129268314408075,0.288216089970348,0.0797908145453041,0.277759886950622,0.0509130066027862,0.440285975026888,0.135589350535975,0.210690679799801,0.0296309330781446,0.375765692458123,0.128486950894276,0.159325134111631,0.0433912290554863,0.218090178132909,0.0395867789974058,0.380271898225317,0.109802164430467,60.9915352788374,60.1938741184992,49.0729664045923,58.1817392388634,59.510126236176,60.9915352788374,60.1938741184992,49.0729664045923,58.1817391896154,59.510126236176,59.3721332594218,56.8609396647502,60.0699598642527,53.4083097734764,62.2140084439647,43.6661983916739,53.9964993437608,32.2441855058145,42.8649287241282,53.7790698628634,1255.21441242452,1564.43189334022,1253.35316154382,1183.38983913349,1244.53274840431,1255.21441242452,1564.43189334022,1253.35316154382,1183.38983913349,1244.53274840431,1261.78059645619,1580.81699875966,1383.01275170542,1232.27640195821,1257.32143854698,1180.00920766581,1603.18637000425,1189.99919190418,1159.14323651823,1267.47273886911,14.4990449666667,16.3184851,16.2450839833333,17.6425174666667,15.0233604333333,14.4990449666667,16.3184851,16.2450839833333,17.6425174666667,15.0233604333333,15.4782021206897,18.5019581724138,17.4848900689655,19.7579627241379,17.5989199655172,18.2237246206897,22.7074384482759,20.9279082413793,23.4977141034483,20.4081741724138,4.63990148666667,19.3643743666667,10.5888969466667,18.4002723866667,9.32837233333333,4.63990148666667,19.3643743666667,10.5888969466667,18.4002723866667,9.32837233333333,5.59994119310345,20.6794124137931,11.5885966310345,18.5565450758621,8.92061947241379,6.41157659655172,21.0396953448276,11.8713445517241,17.018155937931,8.89004837551724
"Alazeya","D","Arctic Ocean","Asia",68.866454,152.224996,70.86,153.69,48.247556,-13.317084,17.058468,64700,0.230572,320,"x",70.75,153.75,"Flow70.75_153.75.day",181,0.0334736547728616,0.00798065009598925,0.00545549007397062,0.00209245278016094,0.0651722028462071,0.0182257301774416,0.0189576133466327,0.00477491855919218,0.00687849427462881,0.00145585322224112,0.0329060994670414,0.00792502936948843,0.00553575851721066,0.00201926044634845,0.0647668304424515,0.0177720495690085,0.0189945086783432,0.00491990490365811,0.00688496216745671,0.0013930140850993,0.0459848560379023,0.0104604425627509,0.0333669846230807,0.0116177804809086,0.107298866025779,0.0282170729998348,0.0544699768195351,0.0117449193360148,0.0112156226533879,0.00261127013851872,0.0914648543215589,0.0190552585753694,0.115863672656761,0.0375464420383004,0.174109215380436,0.0438411422255899,0.113045671595422,0.0235528746504103,0.0206185786109521,0.00432715723037972,6.05984325130368,5.96682959585184,6.21659907084672,5.67205768848096,6.01756965602208,6.05984325130368,5.96682959585184,6.21659907084672,5.67205768848096,6.01756965602208,6.48320147694432,10.2362562477315,7.7939808193589,8.55451879290859,7.95711326327404,9.73894713457854,17.5677815795857,10.3138520100701,15.224716642746,8.40184496969512,334.155179811627,276.972194806353,289.619387808527,366.483686114852,248.637237253351,334.155179811627,276.972194806353,289.619387808527,366.483686114852,248.637237253351,337.474119643005,357.643898251833,335.840909405322,471.604514366333,286.587181182588,408.308228730782,475.518044405804,373.125898625604,643.249134241113,320.40552756378,-10.41283165,-15.16469395,-10.25793365,-11.7307301833333,-16.4918002666667,-10.41283165,-15.16469395,-10.25793365,-11.7307301833333,-16.4918002666667,-9.11824020344828,-10.5304394137931,-6.9721223137931,-6.42565364482759,-13.1833788793103,-5.25391074482759,-3.17055052310345,-2.42762900241379,-0.0583680682758621,-6.50473131724138,21.4877573333333,1.88015432,23.94796237,29.63381,0.109033939276333,21.4877573333333,1.88015432,23.94796237,29.63381,0.109033939276333,22.2251503448276,5.75589385862069,24.9606149344828,34.4881287068966,0.182397186927586,21.9141597586207,8.81924557241379,24.9982008448276,34.0785228068966,0.183130475168966
"Albany","D","Arctic Ocean","North America",50.772807,-86.724865,52.31,-81.52,138.4225926,-0.354706292,61.558252,135200,0.229628,1420,"x",52.25,-81.75,"Flow52.25_-81.75.day",302,0.287771870582861,0.0425968763306077,0.372514986065628,0.128419952220077,0.423180663313483,0.0996958825285978,0.408366050138728,0.0810500173015466,0.319818808185223,0.109097928517336,0.289262298150347,0.0438620260879256,0.373284116730496,0.126406889287831,0.418615690514132,0.101977167734962,0.406922973828744,0.0793089926610857,0.310007329587208,0.105928145680234,0.289477029661241,0.0416804780616182,0.522322506352032,0.179977572909507,0.482867820153891,0.113152685972553,0.375651298285718,0.0733935673526021,0.343136895234077,0.112130450206155,0.330810679983156,0.0482519755015081,0.515517510824426,0.174253620537017,0.413002501795322,0.100401593050717,0.423626866783454,0.0804107191604353,0.345267503485362,0.109273196760398,56.0639617016256,57.8572395632928,55.5857402256,56.030703746688,55.527495852384,56.0639617016256,57.8572395632928,55.5857402256,56.030703746688,55.527495852384,61.0863603744662,67.9997948794163,63.2356446907365,54.3676319235807,58.434896521589,68.183650350005,65.0351639472331,55.1053991931641,61.328766404736,58.5722198041523,712.509902558389,699.038281055553,749.768080941268,633.727805461222,604.057942177368,712.509902558389,699.038281055553,749.768080941268,633.727805461222,604.057942177368,765.389619016912,741.393847095661,817.984368094659,693.831493646287,634.242777043342,848.148453716065,776.613131543862,812.314186305861,779.493795525547,672.330312968078,1.6575287211,-0.408137012333333,0.00119840909999999,2.307196632,-0.6358120337,1.6575287211,-0.408137012333333,0.00119840909999999,2.307196632,-0.6358120337,2.72905916896552,2.84855508275862,1.64009178655172,6.56097776896552,1.59615925931034,5.80594797931034,8.39787634482759,6.64876463448276,11.7682588793103,5.79925688275862,8.48643925,12.8346916166667,16.8126539633333,27.92017429,5.39327301293333,8.48643925,12.8346916166667,16.8126539633333,27.92017429,5.39327301293333,7.02405536551724,14.9185137931034,17.2753846103448,26.8865958862069,5.35900376710345,6.96735144137931,15.3014308793103,16.5893848137931,27.2022847068966,5.31189719872414
"Alsek","E","Pacific Ocean","North America",60.32473,-137.597614,59.13,-138.61,7.698333333,-2.44442057,65.042169,28023,5.620201,863,"x",59.25,-138.75,"Flow59.25_-138.25.day",301,0.193336147225126,0.0278618614302304,0.193980017872342,0.0693525169116239,0.155828210139114,0.0429688851860396,0.245407260150958,0.0458403440164809,0.170656990491316,0.0363004275476228,0.19366990640889,0.0277871204914908,0.197083974389993,0.0701809016932178,0.15531591629144,0.0418420584799415,0.245190625604648,0.0467841793759294,0.171096041767677,0.0358854525507556,0.208267857469532,0.0298378270608815,0.222493688522737,0.079362175476837,0.169577873813031,0.0465689804201188,0.267675621476138,0.0495690161382191,0.185665365809376,0.039391124581691,0.228585763237119,0.0322732498690245,0.260212871603371,0.0915922463488963,0.189046584935625,0.0521098974261292,0.281999067789124,0.0527270075927307,0.209798198627173,0.0437891726100705,34.375786685712,33.1860154644864,33.7860017171424,33.8777799234912,33.9446152956096,34.375786700112,33.1860154644864,33.7860017171424,33.8777799234912,33.9446152956096,37.5502635602417,36.7258269784916,35.5817347849291,39.682535028619,35.7771469444535,42.2220590845473,39.5492701862036,41.2212425456706,43.5712177766731,38.3705770849225,1452.97616621997,1120.41019176031,1237.335454666,1472.02305780971,1159.56721445598,1452.97616621997,1120.41019176031,1237.335454666,1472.02305780971,1159.56721445598,1556.69371588207,1235.39238836835,1329.24170733254,1721.53129734327,1223.62773361659,1723.77070835014,1255.83663014976,1521.92127843575,1899.96498192087,1347.60717289695,-2.658919075,-3.98387673,-3.03799863333333,0.527314093,-6.22647295666667,-2.658919075,-3.98387673,-3.03799863333333,0.527314093,-6.22647295666667,-1.90039767965517,-1.37048916275862,-0.211600892275862,4.30890404827586,-3.96703005862069,-0.241410457241379,3.16172743448276,3.60505835517241,8.33604247931035,0.470895357965517,14.05258625,13.859531,10.8497154833333,47.7731431,0.341208137813333,14.05258625,13.859531,10.8497154833333,47.7731431,0.341208137813333,14.0423882413793,15.3471957931034,11.8515363896552,47.2069974137931,0.373123590358621,13.5827463448276,16.6554279655172,12.2017094758621,46.4494998655172,0.366582181041379
"Altamaha","C","Atlantic Ocean","North America",32.780559,-83.180088,31.32,-81.29,4.553846154,17.7866896,100.393939,36000,0.458478,383,"x",31.25,-81.25,"Flow31.25_-81.25.day",300,0.0560726050952234,0.00815385075530805,0.0858587293114171,0.0296522210419656,0.0393905464338613,0.0108964881528407,0.0581588150751216,0.0109331771096183,0.0772812663711755,0.0241996780968255,0.0567919510859933,0.00843349695410799,0.0847206496710573,0.0293643059059444,0.0391958542435002,0.010903218098729,0.0580366272572678,0.0102338693865964,0.0765375325671356,0.0242583377856523,0.0585884568009185,0.00827704115704289,0.0977596455425879,0.0334214413664599,0.0499897650323546,0.0139236970098886,0.0578428293635679,0.010880716821586,0.0904676077144701,0.0266992275455288,0.0427827296071356,0.00615372550859847,0.0904619666387684,0.0310190607847736,0.0303521998430629,0.0083237208704592,0.0379944651096441,0.00672665715884261,0.0777900865402893,0.0228762486737825,14.3387257412506,14.8814312975395,10.2906884643466,13.1932478193955,12.5472733580563,14.3387257412506,14.8814312975395,10.2906883197706,13.1932510359811,12.5472733580563,13.9211595855509,15.4927371430001,12.6099487745926,13.0073674910758,14.4054304410458,10.0749986242689,14.1936734406091,7.97009026530737,8.89973683705092,12.746919375642,1340.10567498042,1566.03536408584,1174.9885364229,1217.32933164996,1183.34935663632,1340.10567498042,1566.03536408584,1174.9885364229,1217.32933164996,1183.34935663632,1366.8223283498,1556.16058653347,1281.69985671865,1275.4543554919,1237.79357044269,1277.30462313708,1593.94414590795,1210.25190399458,1159.58062965681,1284.11248624952,15.0331555166667,16.43271535,17.7456431333333,19.0106017,15.5017134666667,15.0331555166667,16.43271535,17.7456431333333,19.0106017,15.5017134666667,15.976953,18.4816264482759,19.0167523448276,20.658164862069,18.0750952413793,18.6832609310345,22.6824404482759,22.2212692758621,24.5063086206897,20.7680874482759,4.90852324,19.7481497,9.13395084666667,16.4866096666667,9.12536905066667,4.90852324,19.7481497,9.13395084666667,16.4866096666667,9.12536905066667,6.78738737931034,20.8804430689655,9.95674377241379,16.9457231896552,8.77741866241379,7.55102826551724,21.3221884482759,10.3072306310345,15.7962852172414,8.74146426034483
"Amazon","A","Atlantic Ocean","South America",-6.631728,-64.431564,-1.9192,-55.52,9.085758145,24.64173787,177.434202,7050000,1.582585,209000,"x",-1.75,-55.75,"Flow-1.75_-52.75.day",107,24.4065205421758,3.60363393694423,19.096628330617,7.93987296478775,19.1723713253349,5.66446838804094,26.0226427777503,4.94922752640784,33.2218539558953,8.30064620094297,24.2752698356542,3.59066135043109,19.1294954353209,8.3511626790761,19.481112306846,5.98776498608962,25.9410782565109,5.14507128194703,33.9451740733179,8.39823426478229,25.1313492851668,3.69836047444004,18.7339069213818,7.53306258285426,19.8484433417433,5.75659009800492,22.779688446434,4.38940340765932,34.686889871179,8.56696672077958,25.5270929133726,3.73678036517031,17.1177698265532,7.22882706533772,26.1835445415257,7.9744518387121,25.9080797717899,5.19616423690251,37.286931686999,9.0753905070445,5540.44254293664,5001.245059104,4857.60842099712,5678.9384142816,5253.1138427328,5540.44261749696,5001.2450146944,4857.60837325248,5678.9384124672,5253.1137887616,5606.43500673931,4604.56268871724,4819.09520323366,5119.46205885683,5456.74632619034,5635.90724111206,4222.31587073876,6227.49201473148,5758.90167627807,5689.12137372248,1409.66028751038,2444.59311727624,1550.78300682488,1655.68279180805,1835.06656084693,1409.66028751038,2444.59311727624,1550.78300682488,1655.68279180805,1835.06656084693,1415.39686601376,2356.07288573425,1553.33054018588,1610.1323244566,1884.89287242964,1471.84047296399,2281.93167648732,1686.54753338292,1616.71185484436,1888.74844528843,25.7270057,23.6107762,25.2727598666667,24.4486314333333,23.0851393333333,25.7270057,23.6107762,25.2727598666667,24.4486314333333,23.0851393333333,26.9673399655172,25.1951076896552,27.1049320689655,26.8432649655172,24.2609218965517,29.3900598275862,29.9033627931034,30.9517077931034,30.5157991724138,27.1531125517241,4.38655333,12.3993225333333,9.57460214333333,17.96798543,8.428521266,4.38655333,12.3993225333333,9.57460214333333,17.96798543,8.428521266,4.73148259310345,13.7174694827586,10.2831102103448,16.066013337931,8.41719190344828,5.09976455517241,13.0904133793103,10.6637388758621,15.7591319068966,8.33489518724138
"Amur","D","Pacific Ocean","Asia",49.394228,125.239477,52.95,141.13,30.33298387,-0.850178271,42.058937,1855000,1.846667,11400,"x",52.75,141.25,"Flow53.25_140.25.day",112,1.10359934997868,0.211709302182861,1.00059703823356,0.343165903846591,0.99594993429435,0.242866676933575,1.0998129126997,0.214927246257319,0.863403038449169,0.39181313858674,1.10463100035135,0.201518889438488,0.99839413312887,0.342128852371981,0.995434756759765,0.244289058822665,1.09781017710628,0.21925206496246,0.852859537167883,0.393573465326298,1.07996749047224,0.202078430675017,1.82184480035174,0.620222687513315,1.10867271188846,0.269219569502398,1.22235228917574,0.233342078293113,1.21658842820413,0.503635541122142,1.06053691800461,0.182606572888119,2.24203814563354,0.763847862086208,1.44606006528656,0.349652767140249,1.20005436208983,0.225952581125609,1.39284325331474,0.547579869503283,241.383650183136,270.1598914944,215.775492157728,262.659571919136,256.94054387856,241.3836533232,270.15989153184,215.775499733856,262.659574224864,256.94055264816,239.896432142566,356.767395901572,225.714505854389,275.677746954703,315.849896818759,229.510884459873,365.862048868204,272.816313911503,268.23983028341,326.551573720055,695.778758905863,606.676335340132,714.569250506811,769.54788736496,635.996315337628,695.778758905863,606.676335340132,714.569250506811,769.54788736496,635.996315337628,704.102389504473,699.008361603777,776.028154612406,843.804901439582,723.051940467093,739.732924521263,713.443172741393,894.144912956939,918.558630341157,778.944370973112,-1.47892223766667,-2.46935165666667,-2.52126014666667,-0.5390796496,-2.88630811333333,-1.47892223766667,-2.46935165666667,-2.52126014666667,-0.5390796496,-2.88630811333333,0.0105664359689655,0.120003827896552,-0.50768287,2.6961265137931,-1.04859087655172,2.46327005862069,4.87440067586207,3.96432170689655,7.67301526896552,3.04821885172414,22.5533958666667,11.8505514833333,20.99858564,35.7402011633333,9.45058269633333,22.5533958666667,11.8505514833333,20.99858564,35.7402011633333,9.45058269633333,20.5673333448276,14.8508053448276,21.3835337448276,34.5733833068966,9.32215826793103,19.6754707931034,16.2568352241379,20.8516282,32.7971822448276,9.11979079275862
"Anabar","D","Arctic Ocean","Asia",70.621725,113.542474,73.61,113.7,25.59616438,-14.28183236,19.493639,1e+05,0.50445,498,"x",73.75,113.75,"Flow72.75_113.75.day",217,0.137804897789583,0.0325242559237233,0.0324957125861975,0.0117421947891131,0.183680983366476,0.0493457601633744,0.0715262089911991,0.0169322264333098,0.0306804144715058,0.00624697809300561,0.137410020065619,0.0330841756944103,0.0333653052362245,0.0115413184238178,0.181713085784845,0.0493824384729884,0.0711016144396887,0.0169406322329523,0.0306577626748129,0.00621468304612529,0.195317525566717,0.0442459748480277,0.110605518936116,0.0392028418641512,0.29311030346308,0.0758974775113677,0.186420724578754,0.0407287784060265,0.0350826404132322,0.0074224827304622,0.302589448170745,0.0649270580596869,0.217569836325843,0.0727780032920238,0.429913745793098,0.108538056841279,0.269432638302976,0.0573958954952489,0.0710254395951353,0.0146844450842801,13.4676677469917,13.8015271521187,13.2757645048675,13.7715150048768,14.4304900560288,13.4676677469917,13.8015271521187,13.2757645048675,13.7715150048768,14.4304900560288,15.5272188431669,19.3033511787476,15.3086652854496,21.0057136091335,15.8385643201778,20.4646466833721,27.2363041360621,19.1001533903484,28.3287926868887,20.5716214012429,407.655377515516,395.104335870555,325.454744988497,317.140017963577,290.860724872942,407.655377515516,395.104335870555,325.454744988497,317.140017963577,290.860724872942,422.975568242181,477.756470205598,348.853111386032,418.81741700287,294.711199699274,496.165374139877,594.781056514943,372.015166889845,515.968626678605,378.267911337421,-11.7143719,-14.4740088333333,-12.029057,-12.7530093,-17.5950262666667,-11.7143719,-14.4740088333333,-12.029057,-12.7530093,-17.5950262666667,-10.1135764482759,-9.8288384137931,-9.45903486206896,-7.67420685862069,-13.9206667586207,-5.68700179310345,-3.27051766896552,-4.37238406206897,-1.64254775068966,-7.51923825862069,36.7667283666667,5.57011871,28.57785225,25.30927635,0.0954381673326667,36.7667283666667,5.57011871,28.57785225,25.30927635,0.0954381673326667,36.6741501034483,10.8292720862069,29.6010437241379,32.1321739482759,0.124918070244828,35.7641010344828,13.222074637931,29.4224616482759,32.883381362069,0.12653791192069
"Anadyr","D","Pacific Ocean","Asia",65.507143,171.435345,64.5,178.12,36.38960396,-10.03033478,27.938292,191000,1.929613,1000,"x",64.25,178.25,"Flow65.25_172.75.day",216,0.272863251643115,0.0597285270525447,0.0878280248888847,0.0306466206878641,0.214946925663517,0.0529724299896793,0.128026737756924,0.029465177494942,0.0550301925502082,0.0118080737532484,0.275473390524068,0.0608851193290931,0.0861365245494615,0.0306366130072609,0.214899414704894,0.0523465277558524,0.126976267535226,0.0283283680890113,0.0544989930509062,0.0116965530471619,0.333375804895083,0.0694475956360767,0.201149023104856,0.0679375408587562,0.26683956664407,0.0650155515965103,0.226681239272471,0.0478447309507951,0.0824368143088539,0.0186550021731542,0.437315699927261,0.0891389380799694,0.326863254159554,0.11071842426033,0.327589134737535,0.0779355971571461,0.312756430469567,0.0596524974745133,0.129420262665864,0.0274779709439741,26.218683164592,25.9861789312128,26.4980832033888,23.8047962596704,27.6540315151766,26.218683164592,25.9861789312128,26.4980832033888,23.8047962596704,27.6540315151766,29.0625282257015,34.4391324054852,29.4263569233534,31.6981431720397,30.5117168635763,33.8819605822477,51.1224833818249,38.9548510124504,47.793110658187,35.8407924672603,517.05171279407,485.248684380088,563.70803715102,548.810203572922,483.543262129239,517.05171279407,485.248684380088,563.70803715102,548.810203572922,483.543262129239,543.59509171117,584.572217086302,632.258473851857,689.483449499647,576.270603717446,610.293071283641,769.965662482895,777.271200377592,959.948085909474,678.42808269693,-9.24948046,-11.6856236666667,-7.97031790333333,-10.1352610166667,-14.9025863666667,-9.24948046,-11.6856236666667,-7.97031790333333,-10.1352610166667,-14.9025863666667,-8.10855103448276,-7.4964602862069,-4.5117097137931,-4.71010156896552,-11.044848362069,-4.33157488965517,-0.941676837586207,-0.202713726586207,2.13605811803448,-4.16001661034483,37.371817,8.73160105,19.1368102466667,35.0252299166667,0.00873431492416209,37.371817,8.73160105,19.1368102466667,35.0252299166667,0.00873431492416209,36.9899884827586,12.8340131724138,19.7336504068966,37.3736440517241,0.00668242812068966,36.0973462413793,15.8370237413793,20.044939537931,35.8187948241379,0.00628514978275862
