"","Julian","rcp26_A_gfdl_mean","rcp26_A_gfdl_sd","rcp26_A_hadgem_mean","rcp26_A_hadgem_sd","rcp26_A_ipsl_mean","rcp26_A_ipsl_sd","rcp26_A_miroc_mean","rcp26_A_miroc_sd","rcp26_A_noresm_mean","rcp26_A_noresm_sd","rcp26_B_gfdl_mean","rcp26_B_gfdl_sd","rcp26_B_hadgem_mean","rcp26_B_hadgem_sd","rcp26_B_ipsl_mean","rcp26_B_ipsl_sd","rcp26_B_miroc_mean","rcp26_B_miroc_sd","rcp26_B_noresm_mean","rcp26_B_noresm_sd","rcp26_C_gfdl_mean","rcp26_C_gfdl_sd","rcp26_C_hadgem_mean","rcp26_C_hadgem_sd","rcp26_C_ipsl_mean","rcp26_C_ipsl_sd","rcp26_C_miroc_mean","rcp26_C_miroc_sd","rcp26_C_noresm_mean","rcp26_C_noresm_sd","rcp26_D_gfdl_mean","rcp26_D_gfdl_sd","rcp26_D_hadgem_mean","rcp26_D_hadgem_sd","rcp26_D_ipsl_mean","rcp26_D_ipsl_sd","rcp26_D_miroc_mean","rcp26_D_miroc_sd","rcp26_D_noresm_mean","rcp26_D_noresm_sd","rcp26_E_gfdl_mean","rcp26_E_gfdl_sd","rcp26_E_hadgem_mean","rcp26_E_hadgem_sd","rcp26_E_ipsl_mean","rcp26_E_ipsl_sd","rcp26_E_miroc_mean","rcp26_E_miroc_sd","rcp26_E_noresm_mean","rcp26_E_noresm_sd","rcp85_A_gfdl_mean","rcp85_A_gfdl_sd","rcp85_A_hadgem_mean","rcp85_A_hadgem_sd","rcp85_A_ipsl_mean","rcp85_A_ipsl_sd","rcp85_A_miroc_mean","rcp85_A_miroc_sd","rcp85_A_noresm_mean","rcp85_A_noresm_sd","rcp85_B_gfdl_mean","rcp85_B_gfdl_sd","rcp85_B_hadgem_mean","rcp85_B_hadgem_sd","rcp85_B_ipsl_mean","rcp85_B_ipsl_sd","rcp85_B_miroc_mean","rcp85_B_miroc_sd","rcp85_B_noresm_mean","rcp85_B_noresm_sd","rcp85_C_gfdl_mean","rcp85_C_gfdl_sd","rcp85_C_hadgem_mean","rcp85_C_hadgem_sd","rcp85_C_ipsl_mean","rcp85_C_ipsl_sd","rcp85_C_miroc_mean","rcp85_C_miroc_sd","rcp85_C_noresm_mean","rcp85_C_noresm_sd","rcp85_D_gfdl_mean","rcp85_D_gfdl_sd","rcp85_D_hadgem_mean","rcp85_D_hadgem_sd","rcp85_D_ipsl_mean","rcp85_D_ipsl_sd","rcp85_D_miroc_mean","rcp85_D_miroc_sd","rcp85_D_noresm_mean","rcp85_D_noresm_sd","rcp85_E_gfdl_mean","rcp85_E_gfdl_sd","rcp85_E_hadgem_mean","rcp85_E_hadgem_sd","rcp85_E_ipsl_mean","rcp85_E_ipsl_sd","rcp85_E_miroc_mean","rcp85_E_miroc_sd","rcp85_E_noresm_mean","rcp85_E_noresm_sd"
"1",1,0.157429230705803,0.0229880174784142,0.1277242923699,0.0501528571481166,0.135398809596876,0.0383164453351956,0.147984823430024,0.0283987831088543,0.197185849251558,0.0476019524423454,0.00541113465501633,0.000779639908580633,0.00475611765819523,0.00179115796863783,0.0050216712618454,0.00133053214358227,0.00367846871387892,0.000664654489018615,0.00468165891525821,0.00108189622245806,0.0396037930465055,0.00564503574818547,0.0501223056079198,0.0167237492397762,0.043080357170169,0.0103132812253593,0.0442216750759265,0.0079948794312512,0.0517888497268113,0.0135814969164633,0.0282854706792747,0.00419687061674746,0.027475714877883,0.00906540472408342,0.0319569113536129,0.00701997941119566,0.0284646240049721,0.0050721873439782,0.023849893515546,0.00696000013073759,0.00159415658776689,0.000281125855778572,0.000239623841429626,0.000113138390901227,0.000881820100318646,0.000202277801856837,0.000793839379156917,0.000142673558237275,0.000353249405905753,7.50072520511889e-05,0.157043397692148,0.0230730638126458,0.128421262351083,0.0511949817828232,0.136580965923032,0.0392769543442426,0.14785310513202,0.0284673576673073,0.199815768108107,0.0477510857675418,0.00542259997779835,0.000784004051227438,0.00475916065368474,0.00178136407140277,0.00501327847599099,0.00132156264138658,0.00367642525876462,0.000669139491019492,0.00468040221367677,0.00108885337731359,0.0397296653720096,0.00554399353110224,0.0501404229323083,0.0168270675332614,0.0430983898111608,0.0103319242511384,0.0441389403629942,0.00797822122921357,0.0517639796068962,0.0136177999999467,0.0283319788409472,0.00418689693155758,0.0276438003947983,0.00914396474971899,0.0319954637285689,0.00695955966184738,0.0283895763438344,0.00493033089196688,0.0236607006670013,0.00689205535389009,0.001598718427243,0.000283401669092825,0.000240018912178045,0.0001120604364856,0.000869626192445249,0.00020079778349731,0.000794514724146346,0.00014573984605621,0.000354837646802197,7.38143020479282e-05
"2",2,0.159034751674766,0.0231814710020733,0.128611093695641,0.0505091097079957,0.13802802714826,0.0391153187169836,0.149318554347101,0.0286993325443568,0.201013967026769,0.0486164510531958,0.00560492150095149,0.00080894097458142,0.00471982383483757,0.00177387177324662,0.00499650805264192,0.00133696755008442,0.00349321731089414,0.000631743314474961,0.00485351615414838,0.00112149223381533,0.0396482625507058,0.00564912825512716,0.0509078988177215,0.0169803065006897,0.0434361744173631,0.0104320109966473,0.0444921756109455,0.00804931525653954,0.0522090557129852,0.01369559774882,0.0275412806539727,0.00409488254253714,0.0274761550744631,0.00908130463511305,0.0315958353140662,0.00694885781202837,0.0283984285968789,0.00505716077318147,0.0237748450242945,0.00691568593084745,0.00158235084477403,0.000278309907361426,0.000240688233746385,0.000113190997431063,0.000869760546658685,0.000196989176676875,0.000781424545723109,0.000140334786109029,0.00034997459136466,7.41772767208454e-05,0.15866594866312,0.023341912305571,0.129238192822298,0.0515432135465641,0.139115052431683,0.0399929041832637,0.149144726694415,0.028772813382833,0.203433531898363,0.0485319165511732,0.00561289884049501,0.000811073715285842,0.00472663930249725,0.00176702835215596,0.00499305599353389,0.00132302682620539,0.00349116366525346,0.000634270424354403,0.00485240252882458,0.00112903378913943,0.0397780684187101,0.00556391173554326,0.0509536985979535,0.0171081581641114,0.0434403496483803,0.0104186964900376,0.0444450650875065,0.0080436260690345,0.0522077771792438,0.0137297466793421,0.027586804794857,0.00408049954032733,0.0276150349201047,0.00913213418760376,0.0316400358754691,0.0068850614293515,0.0283233386929672,0.00492805447719897,0.023578908478412,0.00685615591130199,0.00158477879899394,0.000283155974156682,0.000240986047339282,0.000111884375787913,0.000856002083562954,0.000196517613021872,0.000782574260415539,0.000142821506828829,0.000351865868737827,7.3521280061077e-05
"3",3,0.161255169915705,0.023565767234916,0.130163841112379,0.0510939619246526,0.138723631678692,0.0392978716755438,0.151006354421347,0.0289400944868005,0.204184755382076,0.0492926712992998,0.00560001648958175,0.000811014663005578,0.00472962163243081,0.00176905387605789,0.00473323241230384,0.00127655186058326,0.00342367796178811,0.000620665362729427,0.00483361530668737,0.00111285796596663,0.0394988486287989,0.00562736763637643,0.0522478857697708,0.0174559252571964,0.0435532069305698,0.0104576655541954,0.0449198468866953,0.00810622429423132,0.0535666278538991,0.0140552844433781,0.0266268901413855,0.00396665336099911,0.0273254574906398,0.00902060781457649,0.0312345116524123,0.0068607204976372,0.0285693357411616,0.0050786976608267,0.0237770760392086,0.00690412023685172,0.00157850207438525,0.000278560416146479,0.000239616279911116,0.000112677730480744,0.000858334405442092,0.000196007909228341,0.000774976150619427,0.000138652248775308,0.000348161160864352,7.34693867566814e-05,0.160915200386376,0.0237150145481435,0.130909984511096,0.0522124837813147,0.139827671762364,0.0402424911481144,0.150868337889982,0.0291252485019248,0.207144696221956,0.0495581268824009,0.00560785158080064,0.000808316796333751,0.00473933944729836,0.00176737787949126,0.00473153653103227,0.00126307318657009,0.00341994817515034,0.000622108197700498,0.00483284197526418,0.00112050972218249,0.0396140589530136,0.00554012300071485,0.0522406245265946,0.0175058284626094,0.0435930446707816,0.0104642873637394,0.0448447238027702,0.00810946512755432,0.0536032033128687,0.0141287690047814,0.0266740767618622,0.00395143989180112,0.0274861301991798,0.00908133645454942,0.0312832057335789,0.00680699662259578,0.0284719160856534,0.00493899421276802,0.0235971731838368,0.00687249052630131,0.00158138099074156,0.00028267364983147,0.000240053171032859,0.000111387031897592,0.000846291195127989,0.000195188257987844,0.000776292634085923,0.00014173405486952,0.00035018620817905,7.32398242360599e-05
"4",4,0.163237166153701,0.0237808191511318,0.132461980236563,0.0519932410853733,0.137510042976369,0.0390562845196694,0.152790179384399,0.0293508183905486,0.207190448526064,0.0498918128565453,0.00551490993097544,0.000793881219748414,0.00479710598767029,0.0017930716321622,0.00454201377011705,0.00123236982712456,0.00350753243286772,0.000635529578861849,0.00470381133367091,0.00108699411458479,0.0394289349065985,0.00562541226587141,0.0536641590683233,0.0179121487288662,0.0435025721380367,0.010433876359462,0.0455950630690252,0.00825018209845373,0.0553938114782952,0.0145843284123574,0.0258149849606506,0.00384525729170691,0.0269976594747074,0.00892647703114182,0.030937626851661,0.00680640469467932,0.0285941339366001,0.00509838255531343,0.0240208066230728,0.00698573412313128,0.00157059354257592,0.000277104025386422,0.000238729992597122,0.00011216644626975,0.000847469937327197,0.00019389223005376,0.000770685809470099,0.000137704342561458,0.000342565451830166,7.2119620978461e-05,0.162951587553359,0.0239692361780521,0.133161272959977,0.0531856554556556,0.138680955228071,0.0399490950257698,0.152608916660401,0.0295084121880897,0.209883931599109,0.0502192520094036,0.00552758863207736,0.000799496068672786,0.00480743850264563,0.00179354077761205,0.00454061827851057,0.00122103388584799,0.00350069537959819,0.000639337182905406,0.00470541414860104,0.00109184546032617,0.0395618354197939,0.00552799015624518,0.0536770999464815,0.0180161711580171,0.043500735973678,0.0104223725908254,0.0455065493240789,0.00824024973742142,0.0554066639194484,0.0146424027028695,0.0258369120568983,0.00381645162468738,0.0271418442538916,0.00897711024869881,0.0309929132649433,0.006743493897149,0.0284918425233087,0.00494883892269787,0.0238246417953264,0.00692593743399876,0.00157292204661417,0.000279940159150547,0.000239149581448672,0.000110748755732531,0.000837232804445342,0.000193881746149368,0.000771261547378662,0.000141031441432093,0.000344059220550564,7.15973476267265e-05
"5",5,0.165388511175316,0.024193558679067,0.134080427915409,0.0526688634975533,0.135699790846488,0.0385299510864895,0.154379781558566,0.0295182713802479,0.209801884277316,0.0505876477357647,0.00546247260307288,0.000787052577310939,0.00489750977839826,0.00183082208925359,0.00449681719260639,0.00122626247218177,0.00369020302858826,0.000669550913162888,0.00456145315210302,0.00105763740344966,0.0398786671189917,0.00569629455721482,0.054645925435342,0.0182455006517841,0.0432311283026871,0.0103494574053444,0.0466164552415959,0.0084344722705531,0.056966744743508,0.0149930767447261,0.0251856109557707,0.00374368397713122,0.0266663075614852,0.00881699455680843,0.0308329824398411,0.00679430203777193,0.0285759985600693,0.00509877690526596,0.0243348803464686,0.00707405616394915,0.00155772715607826,0.000272024989364109,0.000235958152510774,0.000110817565413369,0.000836538056570288,0.00019143639622287,0.000762848563814759,0.000136728248252655,0.000336108746974144,7.12645872391725e-05,0.164925270312532,0.0243122256741075,0.134800390683235,0.0538038545619362,0.136829546753603,0.0394859984276746,0.154195916790528,0.0298180954094057,0.212394276363041,0.0507253518856757,0.00547494426207047,0.000789514497113531,0.00491052426348007,0.00182921228799383,0.00450082631852737,0.00121828576844572,0.00368703736902104,0.000672544506853137,0.00455655534042262,0.00106374530822461,0.0399926595061764,0.00559444117582858,0.0546449514027776,0.0183287435761701,0.0432455113373475,0.0103497509655037,0.0465364062397367,0.00841952913074053,0.0570139000207692,0.0150775649869117,0.0252376294592259,0.00373428743269035,0.0267984653223118,0.00886129717313427,0.0308849301890688,0.0067083204100314,0.0284789989475489,0.00495028634824593,0.024126174555119,0.00702577953528663,0.00156131577889686,0.000276928399201059,0.000236309235638474,0.000109548132592057,0.00082505660244605,0.000189783477430175,0.000763955147436186,0.000138373544742538,0.000337881595436714,7.05112242018444e-05
"6",6,0.167447127805738,0.024564626008929,0.134781213902092,0.0529928035968828,0.134360006423372,0.0382003253722158,0.155327413015938,0.0298109486492252,0.211670269000034,0.0510977277396237,0.0053948935104281,0.000777627967399523,0.00492751123081912,0.00184120417048631,0.00453176294113157,0.00124193530719339,0.00378966350361653,0.000684065226103291,0.00450451423443899,0.00104982563991173,0.0403957051561141,0.00577941226012367,0.0549147230612313,0.0183278344980771,0.04305955981002,0.0103146250466879,0.0478366306457357,0.00865035364909678,0.0582947694257712,0.015298666787762,0.0248098045901492,0.00370852083133834,0.0263438402736103,0.00870375970225371,0.030924519226007,0.00680697447043887,0.0285447701091709,0.00508779918733734,0.0242461377108799,0.00705531136138762,0.0015370652894656,0.00027080375659495,0.000233788858615636,0.000109739944414087,0.000825066379041425,0.000188296894703216,0.000752142977291737,0.000134672302711746,0.000334823503066581,7.05462601323477e-05,0.166965375213133,0.0244845376082709,0.135375265388409,0.054065884070973,0.135434964842671,0.0390519579276085,0.155215097288933,0.0299207542355559,0.214577991811259,0.0513256621539121,0.00540584498637465,0.000779858075998887,0.00493979333841658,0.00184039692155396,0.00453943958236199,0.00123196915451575,0.00378537320611262,0.000690842115349,0.00450435812257882,0.00105407872719226,0.0405317975198734,0.00568995273093769,0.0549336490017041,0.0184460372834904,0.0431010516688224,0.010314632794413,0.0477420481942346,0.00865721434678024,0.0583203998999356,0.015349026914898,0.0248519672710407,0.00368073347451158,0.0264866504422408,0.00875986669622344,0.0309907255026328,0.0067432451917092,0.0284468986518293,0.00494953711796591,0.0240345650296648,0.00699800678291087,0.00154178994174652,0.000273533702560235,0.000233852176014566,0.000108477718427633,0.000814064914058919,0.000187557271677533,0.000753344926733743,0.000136882553226976,0.00033713011381094,7.02991430193429e-05
"7",7,0.169626089614863,0.0247923063620809,0.135366778449287,0.053208022490028,0.133795026981106,0.0380043517318065,0.155624078737136,0.0298523693289652,0.213308644563221,0.0515655244938881,0.00536534383820418,0.000772768818211089,0.00486471112737832,0.00181583369671387,0.00458824084515743,0.00125594202002767,0.00374683989697149,0.000679053160210683,0.00454559592567931,0.001062872715426,0.0408463455027156,0.00584008733312062,0.0552231869332901,0.0184142912373293,0.0434485704970629,0.0104479904963118,0.0483877614072684,0.00877231921928134,0.059900128534593,0.0156485369196137,0.0246370004260017,0.00366667588405237,0.0258947716674825,0.00856443871719724,0.0309155977987371,0.00680332247471872,0.0282504364538897,0.00501810712929162,0.0239163852022146,0.00694419030021765,0.00151279239219012,0.000267711052915616,0.000234468388044557,0.00010987049634987,0.000818762396640822,0.000186725022972021,0.000742757349841583,0.000131923391832079,0.000334924621895893,7.05103501686202e-05,0.169239667356861,0.0249263872689034,0.135914246746601,0.0543150781004023,0.134973069946465,0.038979198264638,0.15537435512835,0.030038143746794,0.216114103576177,0.0517581521431376,0.0053786780112994,0.000775281550148848,0.00487594679315627,0.00181395920044311,0.00458993971349514,0.0012436656240052,0.00374096049113339,0.000684069837017815,0.00454402582497855,0.00106512659645732,0.0409505998349463,0.00572527198852397,0.0552448909443734,0.0185590387741761,0.0434680579572293,0.0104290889024978,0.0482637757578559,0.00873837191379127,0.0600195927472912,0.0157742816036031,0.0246771837110746,0.0036659264505103,0.0260318744705762,0.00860715607590366,0.0309515727823564,0.00674355558139093,0.0281603596171362,0.00487721520448794,0.0236946889428132,0.00689220364247934,0.00151601365815558,0.000269318922705515,0.000234548537130606,0.000108459036238762,0.000807612023951982,0.000187263128118156,0.00074449005467673,0.000135361174740758,0.000336341503209338,7.0128482058995e-05
"8",8,0.172189458342985,0.0252572647467697,0.135899339098672,0.0534117990598837,0.133920293710825,0.0381002487409086,0.155395793987153,0.029721967532055,0.214625966052681,0.0518899347514097,0.00548662336531511,0.00079046845601436,0.00476174374553916,0.00177794040637148,0.00464037155426862,0.00127286264456947,0.00366387398915302,0.00066363382382846,0.00460420202234287,0.00107242930255632,0.0413085589952918,0.00589309704127895,0.0554712739664742,0.0185115993226183,0.0440938615624957,0.0106027497002151,0.0478004915042844,0.00866230184556768,0.0617545112606001,0.0161374205785139,0.0246216015641323,0.00366731588158236,0.0256314084941289,0.00847029015599285,0.0305521093061018,0.00672106214855945,0.0277381379750593,0.00492553025712377,0.0235771757758833,0.00685285707483729,0.00148896961291357,0.000261809127965885,0.000233663518391804,0.000109315291031066,0.000821431526446502,0.000187706249891099,0.000738334280890283,0.000132949288831267,0.000332907471629831,7.0324372851189e-05,0.171914544003762,0.0252967723052521,0.136536873812883,0.0545368789787156,0.135029892149372,0.0390657795939366,0.155326863507594,0.0301050934823497,0.21741308347083,0.0519669534340626,0.00549341656501071,0.000794985072817408,0.00477067860909128,0.00177660732909678,0.00464418804823776,0.00126402294156486,0.00365821058766317,0.000667934542175783,0.00459977281899627,0.00107283184384781,0.0414376108575788,0.00578097011394514,0.0555024723355949,0.0186448652125077,0.0441063638528832,0.0105892614037589,0.0477153377176967,0.00864065842025641,0.0618736371661216,0.0162384373044394,0.0246624614736338,0.00365023292709398,0.0257572247437569,0.00850441205822356,0.0306116326025104,0.00664654680156116,0.027640307945902,0.0047898077224557,0.0233766536175152,0.00680074961151047,0.00148896681581772,0.000263134019459131,0.000233846358967083,0.000107941171488985,0.000810651753186383,0.000187370998548279,0.000738345335323809,0.00013425172620202,0.000334648642692458,6.97741055984068e-05
"9",9,0.175290597908791,0.0256028760262063,0.136115431627489,0.0536049529815379,0.134411623778979,0.0380726502779267,0.156279448191566,0.0299285014592954,0.216605924076305,0.0524543986700621,0.00559905321467407,0.000810727077300736,0.00459958738703133,0.00172248065186589,0.00476063982337581,0.00131610795274811,0.00360949929767492,0.000653883296800186,0.00466367228656383,0.00108247334102906,0.041647860834332,0.00594493121507397,0.0553115020412251,0.0184583036339656,0.0445592757273262,0.0107444055521216,0.0473197304007427,0.00860635785425745,0.0631813101276412,0.0165057619505535,0.024719343207306,0.00368318547210365,0.0255429059957407,0.00843191927666652,0.0302527974270487,0.0066640283902766,0.0272279305714234,0.00483529739247647,0.023293288306048,0.00675883417987386,0.00147141877774088,0.000259217168243558,0.00023130670664427,0.000108136010891262,0.000821403398082065,0.000188679837075592,0.000735761874952457,0.000131432911824983,0.000330405184524912,6.98048786941782e-05,0.174878138648864,0.0257956443625821,0.136785527521695,0.0547143498507131,0.135613486499056,0.0392606705562084,0.156175813782279,0.0302182671671585,0.219271494095826,0.0525039452295334,0.00560868589857982,0.000810076602486899,0.00460672012987187,0.00171885511905978,0.00476134288926408,0.00130155439377193,0.00360530747796697,0.000659841361337589,0.00466278834697603,0.00108346071213291,0.0417640199014161,0.0058123256558164,0.0553145451190619,0.0185817024183305,0.0445658893753768,0.0107035046884562,0.0472495959366377,0.00858752270128112,0.0632811306542808,0.016635132882058,0.0247509365929154,0.00365866603801849,0.0256904213138063,0.00849474127751536,0.030330707125724,0.0065892525191767,0.0271424455350445,0.0047285798129547,0.0230756731137952,0.00671105249732597,0.00147385600910332,0.000262338514598664,0.000231216989541349,0.000106384678606238,0.000809049896159578,0.000187150250298817,0.000735940428979523,0.000133530288810636,0.00033181274522038,6.93775565388601e-05
"10",10,0.177495461157741,0.0258946184856524,0.136093071817897,0.0536019039389211,0.135136550451767,0.0383719036066312,0.157870105686359,0.0301477544247066,0.218842316712115,0.0528395468715513,0.00569198948226871,0.00082142653791759,0.00448289225568604,0.00168696020120984,0.00489201453562184,0.00135951495529156,0.00357466369949461,0.000648327507572699,0.00468957454768049,0.00108684062721732,0.0420814431804552,0.0060095661649411,0.0552137334871424,0.0184483808476242,0.0442927217262385,0.0106609627752351,0.0472833269219498,0.00858452994563496,0.0641185000190331,0.0167312178243389,0.0248207855856609,0.00368695866919842,0.0257371008586552,0.00850573400358842,0.0302853674576671,0.00667950556632908,0.0269296810206908,0.00479315335729271,0.0231677459056966,0.00673651664554541,0.00146185981208506,0.000257390154206745,0.000229387289221309,0.000107349480859617,0.000802382427470324,0.000182970054483802,0.00073094262522104,0.00013094910701335,0.00032431212820532,6.78475295561809e-05,0.176934087796196,0.026035303274929,0.136736651471757,0.0547142037982809,0.136431299571693,0.0394384214987733,0.157709957106324,0.0305143832770536,0.221712287538512,0.0530453352871411,0.00570322155000579,0.000824391935759946,0.00449352749655258,0.00168521496040075,0.00488966827599315,0.00134516361812581,0.00357098431122374,0.000651548187654581,0.00468745431807787,0.00109100864417301,0.0421774687842352,0.00590250966243993,0.0552354890328013,0.0185473925015401,0.0442899443703452,0.0106230440389515,0.0471867015015982,0.00857143870214893,0.0642396130588765,0.0168667198987412,0.0248573293303298,0.00366346613468109,0.0258695405173713,0.0085498439524755,0.0303225494839267,0.00656963365648674,0.0268329335695905,0.00465636892983026,0.0229489755840996,0.00668574207739028,0.00146455868618096,0.00026041670114129,0.000229243253601502,0.000105763452604478,0.00079154400119103,0.000182531243600584,0.000732121270372846,0.000133240795732574,0.000325999215718314,6.78383258831338e-05
