"","Julian","rcp26_A_gfdl_mean","rcp26_A_gfdl_sd","rcp26_A_hadgem_mean","rcp26_A_hadgem_sd","rcp26_A_ipsl_mean","rcp26_A_ipsl_sd","rcp26_A_miroc_mean","rcp26_A_miroc_sd","rcp26_A_noresm_mean","rcp26_A_noresm_sd","rcp26_B_gfdl_mean","rcp26_B_gfdl_sd","rcp26_B_hadgem_mean","rcp26_B_hadgem_sd","rcp26_B_ipsl_mean","rcp26_B_ipsl_sd","rcp26_B_miroc_mean","rcp26_B_miroc_sd","rcp26_B_noresm_mean","rcp26_B_noresm_sd","rcp26_C_gfdl_mean","rcp26_C_gfdl_sd","rcp26_C_hadgem_mean","rcp26_C_hadgem_sd","rcp26_C_ipsl_mean","rcp26_C_ipsl_sd","rcp26_C_miroc_mean","rcp26_C_miroc_sd","rcp26_C_noresm_mean","rcp26_C_noresm_sd","rcp26_D_gfdl_mean","rcp26_D_gfdl_sd","rcp26_D_hadgem_mean","rcp26_D_hadgem_sd","rcp26_D_ipsl_mean","rcp26_D_ipsl_sd","rcp26_D_miroc_mean","rcp26_D_miroc_sd","rcp26_D_noresm_mean","rcp26_D_noresm_sd","rcp26_E_gfdl_mean","rcp26_E_gfdl_sd","rcp26_E_hadgem_mean","rcp26_E_hadgem_sd","rcp26_E_ipsl_mean","rcp26_E_ipsl_sd","rcp26_E_miroc_mean","rcp26_E_miroc_sd","rcp26_E_noresm_mean","rcp26_E_noresm_sd","rcp85_A_gfdl_mean","rcp85_A_gfdl_sd","rcp85_A_hadgem_mean","rcp85_A_hadgem_sd","rcp85_A_ipsl_mean","rcp85_A_ipsl_sd","rcp85_A_miroc_mean","rcp85_A_miroc_sd","rcp85_A_noresm_mean","rcp85_A_noresm_sd","rcp85_B_gfdl_mean","rcp85_B_gfdl_sd","rcp85_B_hadgem_mean","rcp85_B_hadgem_sd","rcp85_B_ipsl_mean","rcp85_B_ipsl_sd","rcp85_B_miroc_mean","rcp85_B_miroc_sd","rcp85_B_noresm_mean","rcp85_B_noresm_sd","rcp85_C_gfdl_mean","rcp85_C_gfdl_sd","rcp85_C_hadgem_mean","rcp85_C_hadgem_sd","rcp85_C_ipsl_mean","rcp85_C_ipsl_sd","rcp85_C_miroc_mean","rcp85_C_miroc_sd","rcp85_C_noresm_mean","rcp85_C_noresm_sd","rcp85_D_gfdl_mean","rcp85_D_gfdl_sd","rcp85_D_hadgem_mean","rcp85_D_hadgem_sd","rcp85_D_ipsl_mean","rcp85_D_ipsl_sd","rcp85_D_miroc_mean","rcp85_D_miroc_sd","rcp85_D_noresm_mean","rcp85_D_noresm_sd","rcp85_E_gfdl_mean","rcp85_E_gfdl_sd","rcp85_E_hadgem_mean","rcp85_E_hadgem_sd","rcp85_E_ipsl_mean","rcp85_E_ipsl_sd","rcp85_E_miroc_mean","rcp85_E_miroc_sd","rcp85_E_noresm_mean","rcp85_E_noresm_sd"
"1",1,0.165195307896036,0.0242127205614202,0.124693295271391,0.0476693958022253,0.157198978076531,0.0444885164756652,0.128690776927415,0.0249577310002671,0.222711277783912,0.0530403672195414,0.00703112029321504,0.0010265117418215,0.00486871204764279,0.00183812622072991,0.00669443437495703,0.00192256849472643,0.00526413386231814,0.000944299629099742,0.00517909077173971,0.00119519316157148,0.0391063123373709,0.00553235070174578,0.0542233053917295,0.0178570598248571,0.0469673376768724,0.0111727349502968,0.0448604544999181,0.00810799932398078,0.0581395388326454,0.0149633133319727,0.0381754427438759,0.00560358207215629,0.0381401716846646,0.0125516537680742,0.0452768090132883,0.0100007233600043,0.0411073469771864,0.00730013004486728,0.0353887062137663,0.0100171981417915,0.00170519755383786,0.000304271040163895,0.000841013541486687,0.000297929126082365,0.00143249023807726,0.000319889591408761,0.00118337354569819,0.000211498734396279,0.000563966827030814,0.000121716100491284,0.1558143128615,0.0228550879030257,0.139868239835225,0.0536672411893245,0.236027998977783,0.0702129633492436,0.151439533921943,0.0299042448006104,0.255575986281908,0.0603543079398334,0.00776690640751258,0.00114652676472315,0.00542596743299138,0.00199405562353488,0.00998801701661367,0.00265009214963707,0.00687020269988195,0.00126743369035852,0.00625142883239658,0.00142368592349442,0.0301565414008056,0.00418882830970433,0.0604093425665215,0.0200720327898369,0.0425969024654446,0.0101954037191009,0.0399004706269012,0.0072536082974656,0.0506453992794721,0.0130031075814915,0.0413168248954655,0.00600639636384564,0.066991786288726,0.02191794333561,0.0705251577902556,0.0153561942088621,0.0640326008355998,0.0110950773916765,0.0459952801252411,0.0125015670927565,0.00196192978768164,0.000340010157507073,0.00247714490241535,0.000813756894737284,0.00243024628768814,0.000544448551071848,0.00191501430454757,0.000342709490699873,0.00122997338879421,0.000288915095898587
"2",2,0.165750659532752,0.0242753823388289,0.125542419435013,0.0479613213690467,0.15942187014996,0.0452354891383758,0.128903848444383,0.0249273657138929,0.225284221444464,0.0537050207287477,0.00682202224915462,0.000996605123235836,0.00516439185500783,0.00193721369269823,0.00662509499240398,0.0019427208579974,0.0051129384360915,0.000916196773089525,0.00525380579133422,0.00120769217852477,0.0398941328868249,0.00563133555156015,0.0544868894473037,0.0179310877598094,0.047727043179787,0.0113505876496739,0.0442394621012001,0.00800686080064761,0.0588027889768789,0.0151401673183569,0.0384804349449056,0.00565195764020426,0.0380612327367923,0.0125245604060219,0.0452626651935572,0.00997411986817311,0.0410144596347611,0.0072714556011914,0.035314849870359,0.0100247408060073,0.00168622317803192,0.000297352594346305,0.000823629290661654,0.000291446379585575,0.00140421377872176,0.000312498120343009,0.00117672950398261,0.000210100340754169,0.000555773515954473,0.000119932321996911,0.157917877785223,0.0230749881561118,0.141120678307526,0.0541606394469516,0.241471158257021,0.0717646447084031,0.151759452342916,0.0299364397037975,0.257181644276405,0.0605538933033927,0.00803660838873378,0.00119639987764176,0.00551489074778052,0.002020854541023,0.0102793608179437,0.00273784059930395,0.00673728844315553,0.00123772455623534,0.00628433142557562,0.00142982028271356,0.0299882425774074,0.00417168066101289,0.0629565155058213,0.0209171309942793,0.0427096287804901,0.0102273891608625,0.0405240266684933,0.00735223142252805,0.0506172794496127,0.0130242870448547,0.0409881484001813,0.00594303503374718,0.0661617353574557,0.0216211626295643,0.0697321579033623,0.0151637059628879,0.0642302509017533,0.011123988706107,0.0450831387496279,0.0122376382357647,0.00194402776544549,0.000338767947675269,0.00244973370795774,0.000803497857099083,0.00238248119166359,0.000531444728058672,0.00189139164993624,0.000337099002583992,0.00121918064941386,0.000286594083019379
"3",3,0.168517599419238,0.0246345376972655,0.126092706584175,0.0481641208976363,0.158419270032492,0.0449054151700594,0.128737929362144,0.0249897040596829,0.228102918905579,0.0543693455708338,0.0065692834846793,0.000963003886051244,0.00559083034114123,0.00207574506061873,0.00637606065875022,0.00188221431266863,0.00498854013525483,0.000896702842708935,0.00521803628804497,0.0011992862259311,0.0398930863225255,0.00564881189161158,0.05521044560841,0.018175435905988,0.0479298578808368,0.0113977859033144,0.0430799919484785,0.00776698308892564,0.0598680877234882,0.0154334680691301,0.0386749532803372,0.00564163455423228,0.0377341578004466,0.0124060585675693,0.0455506286720388,0.010061907404276,0.0408684390761582,0.00724112562284822,0.0353682794443783,0.0100119247223248,0.00166881453484944,0.000296549971623848,0.000809205323272837,0.000286841472854582,0.00138623505945271,0.000308497886146372,0.00116795590129221,0.000209197756064804,0.000547081211371444,0.000117928491007494,0.162281532024359,0.0237776904575879,0.142598853764134,0.0546478095741733,0.240692120501931,0.0714091779693847,0.152464341252566,0.0300386927374636,0.258761191276825,0.0608310551743021,0.00830139955973084,0.00124797014656818,0.00576311535835345,0.00209671267863836,0.0101633910778841,0.00270623812377004,0.0067422721759126,0.00124482846173234,0.00625378248969547,0.00142078083986039,0.0299381057302865,0.00415974543331262,0.0660653437173454,0.0218887691094328,0.0428765593603704,0.0103043186079388,0.0414542174618121,0.00751057765353716,0.0504530914924574,0.0130061683020851,0.0412554150485275,0.00597622723510744,0.0656584963259368,0.0214958157874879,0.0694789993477359,0.0151398557450754,0.0645597898020933,0.0111755995178798,0.0438783224056561,0.0119017099642275,0.00192992255841121,0.000336953846516976,0.00249171266306037,0.000817405453526617,0.0022915304497656,0.000510899954067196,0.00187019794239005,0.000334105060363965,0.00121797995729222,0.000287377135899787
"4",4,0.173137410846658,0.0254343364105767,0.127525250405227,0.0488415214697616,0.155175448318039,0.0439577276658576,0.129319122345991,0.0251179202196686,0.23083151041391,0.054974016616535,0.00651806399724304,0.000946318031138504,0.00597646361707821,0.00221369357532714,0.00606863126578082,0.00178047302328086,0.00490960188654409,0.000884033141844264,0.00519535995196323,0.00119390309648578,0.039375025206459,0.00557341504020724,0.0561041449185705,0.0184674805936123,0.0474365072915588,0.0112830069013884,0.0423444646028886,0.00764065733507938,0.0608240675035521,0.0157383805543108,0.0384329232452189,0.00562114444142929,0.0373010943375403,0.0122527199852606,0.0460560343823298,0.0101607211287518,0.040510720777071,0.00717219597290825,0.0354011539135105,0.00998944864912311,0.00164986571513303,0.000296182334199709,0.00081714056343475,0.000288937370411816,0.00137532820205873,0.00030448002656589,0.00115030551709177,0.000205815692269205,0.00053875046960601,0.000115336769915466,0.168150918788381,0.0245453564120229,0.143700082624519,0.0549588375919697,0.234586181542477,0.0696202881488571,0.154307424631504,0.0304769445698143,0.258712998960114,0.0607979958680278,0.00844778751417991,0.00126024869411185,0.00623652805577005,0.00225903072252783,0.00979423614400119,0.00262299721225921,0.00686848456989472,0.00126550997462869,0.00635251783070797,0.00144002774784953,0.0302205761789894,0.00419918116141927,0.067971184677681,0.0225195857241969,0.0431470158123131,0.0103748109275397,0.0424548459827048,0.00772139843570136,0.0498936471974146,0.0128306161987137,0.0415423387806797,0.00600973399357168,0.0654792827928923,0.0214417580762112,0.0695208461841897,0.0151390280699802,0.0647227497063375,0.0112060522168014,0.0426190420673833,0.0115280231146676,0.00190560431775971,0.000332083114994816,0.00249407253830002,0.000816932197109507,0.00221521746550853,0.000497174949940449,0.00183569562252434,0.000327576768207173,0.00120101305275505,0.000283951671715275
"5",5,0.178719685809289,0.0263711896524149,0.130171968088526,0.0496914765052457,0.151651030730405,0.0429571326504859,0.130676116434714,0.0252990138301233,0.233836478992144,0.05573377617345,0.00678980501792374,0.000992157936552767,0.00620624515565534,0.00229953251206566,0.00579305356990065,0.00167880812062866,0.00490240122571284,0.000880687403598982,0.00514726791806994,0.00118147373915266,0.0391134447250848,0.00555114297822141,0.0566978213625272,0.0186551652005973,0.0467294520058291,0.011114482327598,0.0423351816670552,0.0076564405172524,0.061567279162674,0.0159561692122177,0.0378084208128544,0.00552623028176416,0.0368172671826413,0.0121138300011559,0.0464426513538876,0.0102639908954079,0.0398510420623511,0.00705377284834921,0.0351097189052102,0.00990396132836346,0.00163033998083447,0.000291106659219398,0.000822369509444121,0.000290256608674617,0.00136036050621343,0.000301922554589844,0.00112855469443456,0.000200419183841346,0.000536950634806564,0.000115794955039927,0.174567908147666,0.0256670281141913,0.144382342419173,0.0552114482502827,0.229287696293381,0.0679131460705066,0.156915719631112,0.0309521465347369,0.256829009646707,0.0603660253281709,0.00848694362498063,0.00125556913290796,0.00680522415822895,0.00245829389817223,0.0094794463556494,0.00256328840621631,0.00699330430892573,0.00129006129103861,0.00658192041763509,0.00148670297998642,0.0305408499467252,0.00423746509390168,0.0688545257451382,0.0227693988279219,0.0430484340744746,0.0103618427877115,0.0434395118017528,0.00789234073706705,0.0498632116417319,0.0128303348086634,0.041531078627391,0.00602963373073349,0.0656127469745487,0.0214877736421616,0.0699646389579711,0.0152744367403908,0.064496984089584,0.0111602375618516,0.0420176425711853,0.0113491682258652,0.00188200345783857,0.000326556431877243,0.00245098694699701,0.00080304726913663,0.00216571319325972,0.00048847828394051,0.00179372312633786,0.000321708353827976,0.0011700001772772,0.000275914359349287
"6",6,0.184535746421032,0.0271040742752673,0.133131649592042,0.0508029151774988,0.149624400544354,0.0424636523384953,0.132798182846935,0.025760018675027,0.23418770495528,0.0559071998817431,0.0069996834111706,0.001026719863126,0.0063347926386701,0.00236163783650006,0.00552200675805,0.00158319055267595,0.00485760045480401,0.000875168831587128,0.00514401274536341,0.00118206604714312,0.0393110330410267,0.00555883034402272,0.0571059851315494,0.0187348254607166,0.0463253972367732,0.0110572538825428,0.0431742089568364,0.00782228366875626,0.0624704168526129,0.0161296539027541,0.0371727980539939,0.00542142277134589,0.0362492743425623,0.0119126356461926,0.0467954725168399,0.0103446912432456,0.0393405449701491,0.00698291806779863,0.034409541646663,0.00969892651280281,0.00161015170282231,0.000285810340087672,0.000811969248685268,0.000287243885956201,0.00134386574318977,0.000300746606859093,0.0011126801263682,0.000199011483615886,0.000545743563662173,0.000120126909535067,0.181155796755341,0.02654119522633,0.144977791231686,0.0555183372223776,0.226786890683563,0.067332044883339,0.159958889873281,0.0315943472347752,0.253675373752602,0.0596163643485384,0.00839877418560884,0.00123969722194874,0.00716113501053844,0.0025819506912317,0.00937906497958844,0.0025468718326408,0.00703416554096565,0.00129516003289224,0.00666077060308268,0.00150891504626568,0.0304625487144146,0.00423230347395029,0.0699965044624122,0.0231624313266051,0.042246814901234,0.0101940545731681,0.0439090248044805,0.00796413562845185,0.0507671558665624,0.0130580689542843,0.0412692395619712,0.00597732578504728,0.0657573156082487,0.0215333001693363,0.0702882086692699,0.0153452170708973,0.064138003610184,0.0110858480486744,0.0421219768925073,0.0113631166350146,0.00186801313248431,0.000324383374861734,0.00242671033073455,0.000795754154835303,0.00213325266992405,0.000481397753662416,0.00175571338450925,0.000315037765263311,0.00114272290141289,0.000269441606782629
"7",7,0.189765386940803,0.0278685206194688,0.135598567454307,0.0517435724407763,0.149532050464711,0.042380475826359,0.135344195031452,0.0261887752950523,0.232634586179773,0.0555102345289672,0.00689081571804203,0.00101165207684066,0.00637742614631367,0.00238669527277145,0.00521948080565289,0.00147795953015401,0.00476425706084978,0.000857769572485808,0.00536768472658811,0.00122929798986039,0.0398675030806638,0.00564503213189986,0.0582908586035319,0.0191230604121863,0.0461866610075518,0.0110179117146772,0.0441915220790957,0.00801244989737418,0.0637256068624314,0.0164263884016027,0.0366798640152407,0.00535118241041746,0.0359949634710906,0.011853097653578,0.0471382024317209,0.010404044152321,0.0390547601141173,0.00691658813027243,0.0338371164414252,0.00951999782493415,0.00159646388235874,0.00028319026799282,0.000806090181142444,0.000284793874776447,0.0013179553354404,0.000294677510658335,0.00109993385201068,0.000195747948146833,0.000560101555525087,0.000125429431879231,0.187633543231939,0.0274566912556345,0.145905259060122,0.0560081848075339,0.226833954338009,0.0673522049030397,0.162358924162841,0.0320160268513423,0.251265249255706,0.0590283297123597,0.00832978434385236,0.0012156392666167,0.00742106555012617,0.0026803099301454,0.0093584733063754,0.00256390176883613,0.00694069149378131,0.00127361172519166,0.00659009872367788,0.00148645766222665,0.0303245871095637,0.00422041664912727,0.0709695435819205,0.0234796476811459,0.0414801378349139,0.0100071190088917,0.0435302411460975,0.0079107897475553,0.0523393102180108,0.0134674831484095,0.0409052234291732,0.00592225265336092,0.0656971942269819,0.0215081218960225,0.0698744458858364,0.0152798620823375,0.063741351150992,0.0110351966048806,0.0426866197130645,0.0115448058352817,0.00185474790264063,0.000323680785543332,0.00244848500959455,0.000802271646686234,0.00210545691200436,0.000472861043691433,0.00173781586773524,0.000310187867728513,0.00113957486360018,0.000268883264827186
"8",8,0.193073690678932,0.0285997833227037,0.137145863069675,0.0522324593598944,0.151303573671874,0.0428126511058328,0.137895396612765,0.0266332301659184,0.232203341064371,0.0551370152101306,0.00659368288173863,0.000960646317255374,0.00626367109258493,0.00233927569900214,0.00504353544895449,0.00142031314948692,0.0046953569448702,0.000843184191405524,0.00569287724597065,0.00130129900233793,0.040219398183758,0.00569755059767804,0.0597294156008576,0.0196137042236374,0.0464099139520047,0.0110734452598747,0.0449473911313969,0.0081429256395005,0.0644930200165386,0.0166030168695343,0.036353158715755,0.00529387685346498,0.0364051377023674,0.0119863084085027,0.0470343633719754,0.0103748479756223,0.0386712761726638,0.00686641439780536,0.0339008391321843,0.00952300933587719,0.00158867953804686,0.000284310245982327,0.000806972596744212,0.000285998797895275,0.00129525587395176,0.000288963001210563,0.00108163837989173,0.000192930898551285,0.000551839467270496,0.000123778074669705,0.192818378546253,0.0281682722954058,0.147326271365262,0.0565209409254925,0.227649070387751,0.067666599583224,0.16422929074203,0.0324784989926316,0.25030823860332,0.0590232221420713,0.0083608123448519,0.00121536187969522,0.00782114880480378,0.00284077417604797,0.00924720249259738,0.00254819302298141,0.00678513261383343,0.00124694951051493,0.00649033233029157,0.00146504874907198,0.0305992162555452,0.0042575525878029,0.070905205988043,0.0234364093620819,0.0414968718130563,0.0100149333912593,0.0428291928617396,0.00777717102955246,0.05422439491331,0.0139541400528726,0.0405369014817435,0.00586261983778597,0.065495673785394,0.0214491302501006,0.069068249933292,0.0150948097593675,0.0632280835134351,0.0109555811617972,0.0435311361227474,0.0117791820851047,0.00182472631972719,0.000317802987566375,0.00247474676461988,0.000811795133444754,0.00207708328813591,0.0004670423963983,0.00175282215095564,0.000314033809868528,0.0011614346479168,0.000277777661643782
"9",9,0.194905072332325,0.0287270441124035,0.138528398425716,0.052820168775673,0.152971872310688,0.0433017882897675,0.140611499617489,0.0271549117086939,0.233715823251217,0.0557520746310285,0.00634353811074379,0.000924801835274169,0.00617372294958501,0.00230341532015088,0.00501533218818708,0.0014090045235768,0.00462095656218988,0.000833947072395511,0.00584769964433346,0.00133374462617484,0.0403150313170431,0.00571904726527978,0.0601880800389147,0.0197504801549611,0.0470576304515382,0.0112458608103853,0.0456405391394333,0.00828838011390566,0.0644902860735983,0.0164973819350949,0.0362860746618381,0.00531913659063687,0.0370724838616428,0.0122318972063631,0.0464664717322137,0.0102760748340095,0.038277136222848,0.00679051695855653,0.0340440164921874,0.00954810670821232,0.00157556565933507,0.000279123241984523,0.000791143124402808,0.000279988791983466,0.00128357707276884,0.000285841591249792,0.00106483183828157,0.000190304272344333,0.000529055390764503,0.000116983283731519,0.196858267747134,0.0288072848405898,0.148909658029962,0.0570932381984821,0.22818460315899,0.0677577879501356,0.165840912997884,0.0327584332071455,0.250652556725883,0.0589989644531769,0.00836735794022756,0.00121990698433487,0.00823219936616826,0.00298607589440281,0.00912169082286582,0.00251951389481984,0.00668003046232644,0.0012289666381513,0.00639875926824786,0.00144165886724009,0.0312450974386332,0.00435444397171458,0.0699511625554824,0.0231601981556447,0.042070040490219,0.0101747280481505,0.0425164710119523,0.00770707155872714,0.0558153789620156,0.0143919016956643,0.0405254503458609,0.00586398507820735,0.0653474504301585,0.0213771679753931,0.0687427531772121,0.0150209214505646,0.062582801759028,0.0108339112515456,0.0445031445776424,0.0120600745183569,0.00180123196623314,0.000312883237803754,0.00252487161373671,0.000825082614363311,0.00204878818065079,0.000461445317239476,0.00174594492868231,0.000310946538379166,0.00117233104305395,0.000281507940173524
"10",10,0.197425488060934,0.0290866937468061,0.140143531846736,0.0534686741060823,0.15325388046772,0.0432157823848128,0.142558923196006,0.027567045282598,0.236629766303462,0.0564334915880302,0.00626124411591539,0.000910338997609971,0.00614404092994556,0.00228010286869788,0.00512051654072857,0.00143430590965107,0.00458866253296061,0.000825929928234539,0.00575611760684979,0.00131225883780814,0.040468112118835,0.00573766992227215,0.0601710238264922,0.0197270534461125,0.0476076690440687,0.0113717640269341,0.0459072564640686,0.008333978200036,0.0638997947998455,0.0163351322251312,0.0362593720177468,0.00528388582515224,0.0374379123200938,0.0123534277059156,0.0456748868307187,0.0100380572371109,0.0381064287346548,0.00673633576212743,0.0337795437996039,0.00946174506480934,0.00157075286679361,0.000280066606890021,0.000768341681133387,0.000272896530375673,0.00128698733549493,0.00028716507202046,0.00105141849008642,0.000187555496954388,0.000510279356679626,0.000111599183419393,0.198678597735173,0.029113457313409,0.14956189094013,0.0573043069356516,0.227569908900181,0.0677333273873666,0.16742842042551,0.0330334018776258,0.252424125796471,0.0595505703821735,0.00822430808716667,0.00119279413415243,0.00843339964680687,0.00304906986155199,0.00885928636656365,0.00243870516051766,0.0066710381584465,0.00122612984086634,0.00632203370363686,0.0014277034472872,0.0317132487923321,0.0043908596501232,0.0690706681929236,0.0228754826017035,0.0425838886532984,0.0102699305612674,0.0424306494097714,0.00767416988685935,0.0569578439502311,0.0146832814172228,0.0408553216412821,0.00589576638814203,0.065048729080873,0.0212855520772904,0.069122953110248,0.0151026345162173,0.062234276286713,0.010781899026209,0.0453414324624511,0.0123126204667201,0.00178485954764388,0.000309096927315142,0.00256693356867657,0.000837609314965774,0.00200041973656899,0.000450928054711654,0.00172109774081521,0.000306895463819999,0.00114623871344598,0.000273184910012665
