"","Julian","rcp26_Atl_gfdl_mean","rcp26_Atl_gfdl_sd","rcp26_Atl_hadgem_mean","rcp26_Atl_hadgem_sd","rcp26_Atl_ipsl_mean","rcp26_Atl_ipsl_sd","rcp26_Atl_miroc_mean","rcp26_Atl_miroc_sd","rcp26_Atl_noresm_mean","rcp26_Atl_noresm_sd","rcp26_Arc_gfdl_mean","rcp26_Arc_gfdl_sd","rcp26_Arc_hadgem_mean","rcp26_Arc_hadgem_sd","rcp26_Arc_ipsl_mean","rcp26_Arc_ipsl_sd","rcp26_Arc_miroc_mean","rcp26_Arc_miroc_sd","rcp26_Arc_noresm_mean","rcp26_Arc_noresm_sd","rcp26_Ind_gfdl_mean","rcp26_Ind_gfdl_sd","rcp26_Ind_hadgem_mean","rcp26_Ind_hadgem_sd","rcp26_Ind_ipsl_mean","rcp26_Ind_ipsl_sd","rcp26_Ind_miroc_mean","rcp26_Ind_miroc_sd","rcp26_Ind_noresm_mean","rcp26_Ind_noresm_sd","rcp26_Pac_gfdl_mean","rcp26_Pac_gfdl_sd","rcp26_Pac_hadgem_mean","rcp26_Pac_hadgem_sd","rcp26_Pac_ipsl_mean","rcp26_Pac_ipsl_sd","rcp26_Pac_miroc_mean","rcp26_Pac_miroc_sd","rcp26_Pac_noresm_mean","rcp26_Pac_noresm_sd","rcp85_Atl_gfdl_mean","rcp85_Atl_gfdl_sd","rcp85_Atl_hadgem_mean","rcp85_Atl_hadgem_sd","rcp85_Atl_ipsl_mean","rcp85_Atl_ipsl_sd","rcp85_Atl_miroc_mean","rcp85_Atl_miroc_sd","rcp85_Atl_noresm_mean","rcp85_Atl_noresm_sd","rcp85_Arc_gfdl_mean","rcp85_Arc_gfdl_sd","rcp85_Arc_hadgem_mean","rcp85_Arc_hadgem_sd","rcp85_Arc_ipsl_mean","rcp85_Arc_ipsl_sd","rcp85_Arc_miroc_mean","rcp85_Arc_miroc_sd","rcp85_Arc_noresm_mean","rcp85_Arc_noresm_sd","rcp85_Ind_gfdl_mean","rcp85_Ind_gfdl_sd","rcp85_Ind_hadgem_mean","rcp85_Ind_hadgem_sd","rcp85_Ind_ipsl_mean","rcp85_Ind_ipsl_sd","rcp85_Ind_miroc_mean","rcp85_Ind_miroc_sd","rcp85_Ind_noresm_mean","rcp85_Ind_noresm_sd","rcp85_Pac_gfdl_mean","rcp85_Pac_gfdl_sd","rcp85_Pac_hadgem_mean","rcp85_Pac_hadgem_sd","rcp85_Pac_ipsl_mean","rcp85_Pac_ipsl_sd","rcp85_Pac_miroc_mean","rcp85_Pac_miroc_sd","rcp85_Pac_noresm_mean","rcp85_Pac_noresm_sd"
"1",1,0.178145514697704,0.0258679909663878,0.160494398018723,0.0594287083247653,0.163767625468894,0.0430448111929415,0.171760536198265,0.0322676399245861,0.214752049437542,0.0539062996454275,0.0108042311843295,0.00177455022058946,0.00592146568532165,0.0019464766280287,0.0103061614226223,0.0021977435334597,0.00898313617716485,0.0016585955860761,0.00465121114206837,0.00140236486963857,0.0201001993887571,0.00286507924466509,0.0205707968532169,0.00751910983622629,0.0197179769963494,0.00546715738751767,0.0191598707898068,0.00364623888981379,0.0265234173304875,0.00618355913252414,0.0232738404035763,0.00338306917606397,0.023331393798066,0.00895201268249503,0.0225478055949564,0.00647280380327073,0.0252398874387214,0.00470070353086355,0.031932822904982,0.00780812931646527,0.178052555562213,0.0257885822606439,0.161242763952311,0.0606500261375654,0.16490183080755,0.0440025089175778,0.171527676716014,0.0322732494755757,0.217207658027497,0.054115947202845,0.0108396319531835,0.00177182179627854,0.00592954532573134,0.00194557908177051,0.0102835188543753,0.00221944758216161,0.00901455412816997,0.00165174336400416,0.00465518883064109,0.00137993044082166,0.0200598449060469,0.00288492947170294,0.0205111272981426,0.00750431051598925,0.0197040697199906,0.00552147707627442,0.0191261224899814,0.0036091533236754,0.0264303856360575,0.00617161322552191,0.0231743278887036,0.00342602646700054,0.0235212286678671,0.00895952283836677,0.0226683047492816,0.00634736510609836,0.0251842084875938,0.00465664296230817,0.0319824557482883,0.00775611793155156
"2",2,0.17877497129456,0.0259391015759128,0.162235227075681,0.0600738574045389,0.166549330099196,0.0438988868967879,0.173107052167879,0.0325752700819206,0.218826975073874,0.0549780635288337,0.0106066054835741,0.00174213709245118,0.0058034306717915,0.00190909475933449,0.0100826123022888,0.0021471103169887,0.00883744118328169,0.00163197276794321,0.00457311434206007,0.0013779171947781,0.0206559896596992,0.00294688520861154,0.020569496494106,0.00751509064487467,0.0195414832728723,0.00544680090762113,0.0193730406880235,0.00368649858115833,0.0267930246077129,0.00624497959247636,0.0233740007873359,0.00338460880470496,0.0233475054148315,0.0089597408057281,0.0227528798046327,0.00653734613102287,0.0251662663723582,0.00468414524363969,0.0320082444859144,0.00782244392731132,0.178693205124211,0.0259352875621764,0.162923928490037,0.0612957762412292,0.167601778410517,0.044757293505693,0.172865031632856,0.032617098900875,0.221128347444413,0.0549728646671452,0.0106398743055971,0.00174294949806038,0.00581433400463618,0.00190763958295316,0.0100534916206253,0.00215978102693458,0.0088623275694003,0.00161922431056061,0.00457664738335334,0.00135575224276039,0.0206080740963382,0.00296192590424472,0.0205079457972639,0.00749501671953219,0.0195322327633363,0.00549712790803592,0.0193436735723539,0.00364420066847165,0.0266818500021916,0.00622823557669819,0.0232873459900289,0.00344039030640261,0.0235283433982556,0.0089639860825086,0.0228569932381504,0.00640200410121657,0.0251158356259478,0.00464106198034246,0.0320376411236235,0.00776352172441403
"3",3,0.179933705545799,0.0261750381277528,0.164514479926179,0.060915286435328,0.167500513466163,0.0441391244283392,0.175168651414286,0.0328467882558542,0.223013029285081,0.0559384917469439,0.0104232673978876,0.00171069073090293,0.00570167385015287,0.00187030444533188,0.00985224708846986,0.0020960257529114,0.00869449378811312,0.00160571876001742,0.00449408985111872,0.00135500796444029,0.0207671616750853,0.00295849472217147,0.0209285078774032,0.00763044214153659,0.0189778057304584,0.0053081886745827,0.0197235262978527,0.00375837375531427,0.0267209497068004,0.00621982739185901,0.0234352926310844,0.00340513973061639,0.0235617606313974,0.00903619358076765,0.0227723507943288,0.00654547864135471,0.0251075196613593,0.00467345328217731,0.0324821668997353,0.00792507622900976,0.179886645459067,0.0261645598412799,0.16529721218018,0.0621548491472801,0.168579528170196,0.0450790761040512,0.174909860215701,0.0329910373125911,0.225858475623636,0.0563264391315712,0.010452862430869,0.0017108736416377,0.00570838023644725,0.00187362298950283,0.00982630804369441,0.00211624927702234,0.0087201288381509,0.00159364246977138,0.00449828456658959,0.00133303303880014,0.0207258490486682,0.00297281405015399,0.0208659612795236,0.00760510230285821,0.018979753686504,0.00536441512981943,0.0196883990542431,0.00372016871648125,0.0266291326621072,0.00621770171423496,0.0233272117341895,0.00344932035375311,0.0237445781590505,0.00904483917022124,0.0228961599924905,0.0064122960681145,0.0250628304795467,0.00463270159597338,0.0325422080497727,0.00787596207529581
"4",4,0.181146682983406,0.0262865661004475,0.16703644114583,0.0618780233640259,0.16651894816327,0.043987429109087,0.177320840160454,0.0333490340641956,0.227947439955982,0.0571503738525975,0.0102483863049922,0.0016881065174386,0.00560610826195175,0.00184241090074834,0.00968630793571906,0.00206417969341881,0.00856077690956903,0.00157802702139522,0.00441863689796194,0.00133005910482097,0.0208098878659391,0.00296312416881017,0.0215439533984726,0.00783947510883619,0.0185596418119244,0.00519653043221864,0.0202523979785549,0.00385669099157109,0.0265761697605973,0.00616378077404537,0.0233616323401637,0.00338467716714873,0.0239731319536068,0.0091771955502028,0.0225748277625971,0.00647468839626459,0.0251235795837834,0.00468886488857715,0.0327091967983916,0.00797677539613338,0.181137710726234,0.0262696155232548,0.167780002022066,0.063235832349897,0.167649214703825,0.0448576312290794,0.176996489620904,0.033448477731377,0.230484610729915,0.0575242298677673,0.0102783562285596,0.00168400139747963,0.00561404078163596,0.00184208788351364,0.00966596683885242,0.00208230496839069,0.0085820921571875,0.00156981906129134,0.00442109318338598,0.00130912266283697,0.0207773936467754,0.00298660620860909,0.0214808196409456,0.00781675357437206,0.0185587715031816,0.00525126653779901,0.0202198998390992,0.00381746982984716,0.0264850034118259,0.00617392540788557,0.0232573851071736,0.00345289105746453,0.024151942799796,0.00918855258793331,0.0226785025037895,0.00633867441047247,0.0250807838175743,0.00464210285003095,0.032774003357909,0.00794375701573497
"5",5,0.183065987347498,0.0266546511800987,0.168576649519698,0.0625382799357771,0.164633115828686,0.0434516129996152,0.179852500260237,0.0336870718051798,0.231993383268132,0.0582239787442106,0.0100813806846476,0.00165135582442067,0.0055150097674174,0.00181101449259931,0.00958085402411648,0.00203845326434628,0.00842164841755089,0.00155676667299092,0.00434356924334326,0.00130838678875218,0.0210406636184822,0.00299703902388281,0.0221410627532982,0.00804160991139941,0.0185053096632374,0.00518142771735053,0.0205456488122484,0.00391155488748321,0.0266328658142677,0.00618861596600341,0.0232849573586016,0.00338956875168595,0.0242934068027321,0.00928209402103706,0.0223779773221537,0.00641991541669855,0.0252054894625973,0.00470240635182867,0.0330312529406265,0.00806270113616261,0.182894559953412,0.0266070909594011,0.169302290349708,0.0638070761573082,0.16573137409965,0.044384119052507,0.179551650950121,0.0339374703327729,0.234458259787702,0.0584871032194638,0.0101159718404613,0.00165252923651746,0.00552267036633376,0.00181207897476503,0.00956332825380297,0.00205953842252945,0.00845263885308184,0.00154972105083546,0.00434810081661197,0.00128777627598126,0.0210054532718985,0.00301633027555067,0.0220895700937942,0.00801779599205881,0.0184974853997034,0.00522329960451178,0.0205059504218072,0.00386144525311702,0.0265306783476013,0.00617981211710475,0.0231758342531298,0.00343144670747173,0.0244761100976073,0.00929570460769437,0.0224936834478358,0.00628518196953731,0.025152074269261,0.00465019230326248,0.0330917489228731,0.00800826132775061
"6",6,0.18536470840954,0.0270878241546881,0.168968880956985,0.0627504652121553,0.16330668990082,0.0431326576216636,0.182251846320244,0.0342400037972429,0.234262049245178,0.0588416156592495,0.00992028792317044,0.00163115793831122,0.00542891696930836,0.00178465826094551,0.00948126032249576,0.0020201341393843,0.00829803516806412,0.0015350593677476,0.00427418300535524,0.0012882783159533,0.0211516136343254,0.00301680246621502,0.0224441690665811,0.00812911457512642,0.0186284113030764,0.00521208609973937,0.0205465400992196,0.00390536692944962,0.0269543143279193,0.0062499697829747,0.0231479863848589,0.00336520626517118,0.0243591103334946,0.00931110386388679,0.0222845532531795,0.00638727923045186,0.0251541986642256,0.00468740892003423,0.0335599672957383,0.00819221403063993,0.185183012807792,0.0268204131959593,0.169595518274296,0.0640038584994994,0.164386080121637,0.0439670082133354,0.181991916716897,0.0343033856493547,0.237040798960808,0.0591635001226132,0.00995664853256581,0.00162551936255272,0.00543124811832645,0.00178275119214623,0.00945668555978837,0.00203735453804331,0.00832642624340748,0.00152501565504836,0.00427537512547621,0.00126542399344899,0.021106338731895,0.00303946812205136,0.0224109025673077,0.00812017057099106,0.018635068428942,0.0052646500766903,0.0205079526721276,0.0038733647838413,0.0268514873446476,0.00624050484843199,0.0230507748599162,0.00342321491171597,0.0245315413868546,0.00931388242803183,0.0224024124001798,0.00626034951185496,0.0251164666354107,0.00465346428063369,0.0336067835463173,0.00812764475743841
"7",7,0.188152120259228,0.0273897375413473,0.169293717866177,0.0628743787603159,0.163122138712086,0.043044754081798,0.183044391963305,0.0343823359055061,0.236680597935122,0.0594442436525224,0.00977182787557983,0.00160697305373551,0.00533479935724115,0.00175334427438295,0.00933380601187635,0.00199100735144395,0.00819564434343319,0.00151281610884558,0.00420125536438905,0.00126586847236038,0.0211135574405926,0.00300733367401973,0.0225743243937162,0.00817599500559112,0.0187907314077202,0.00526939328361297,0.020387036934577,0.00387106342450998,0.0272771403429434,0.00632794895982648,0.0229500661985742,0.00333550518127801,0.0243810749483481,0.00930873859732832,0.0223195223870219,0.00639317702898185,0.0251248006037921,0.00468755679071918,0.0338466852051498,0.00825357369460484,0.188031151601799,0.0273421116909763,0.169880068603132,0.0641663960759203,0.164245699552071,0.0439930702597304,0.182644846125129,0.0344915232637135,0.239396701717273,0.0597735881634001,0.00980002528692306,0.00160151292153172,0.00534131997939133,0.00175334348939701,0.00931065670264953,0.00200873735612747,0.00821992588772082,0.00150427393905812,0.00420508903735907,0.00124682306574023,0.0210770951707753,0.0030274266855743,0.0225229563231417,0.00815996374025258,0.0187971264612197,0.00530620607206671,0.0203448864415079,0.00383807202173704,0.0271829481595801,0.00631900543761411,0.0228538705128389,0.00339113488270982,0.0245571625861717,0.00932398788159409,0.0224367697075577,0.00627475781272542,0.0250742825947942,0.00463929265232308,0.0339240136802571,0.00822047580098187
"8",8,0.19138086817397,0.027932521156905,0.169724263715644,0.0630374867932035,0.163577181748593,0.0432131918522198,0.182076510537134,0.0340926435888541,0.239453660674862,0.0601594788652772,0.00961855164972615,0.00158078531434095,0.00524851709132324,0.00172582312076049,0.00914020412724,0.00194713422375259,0.00809038340778503,0.00149548124812377,0.00413172506704924,0.00124648070417477,0.0213344596767255,0.00304069307148056,0.022659848478936,0.00821254962237004,0.0189079800468055,0.00530882227272382,0.0202057645071516,0.00385313426396782,0.0273666420203369,0.00634687555251806,0.0227613323802156,0.0033159557108847,0.0243647995373028,0.00930508469956334,0.0224027017374983,0.00641548113544751,0.024963973284469,0.00466512364646049,0.0339427348208894,0.00827013095819834,0.191404198836381,0.0277847843999645,0.170388120041304,0.0643380623055957,0.164654013521307,0.0441474691644011,0.18186222796329,0.0344262970590233,0.242195867548015,0.0603672420213339,0.00964715490050362,0.00157708590159809,0.00525278904216362,0.00172373337138416,0.00912221906762569,0.00196710596574174,0.00811275297762229,0.00148691142010403,0.00413697064275432,0.00122597327545609,0.0212865835869746,0.00306227774424041,0.0226317818143815,0.00820190540911465,0.0189162264151963,0.00535861570601669,0.0201640547041935,0.00381203132739623,0.0272697047527466,0.0063376051856863,0.0226590623919437,0.00336194639276469,0.024528404962444,0.00930700366393807,0.0225102694020612,0.00627979090321025,0.0249400294490734,0.00461250608691604,0.0339952527726403,0.00821792581698231
"9",9,0.194884764987653,0.0283410639995997,0.169904697890748,0.0632209967603682,0.164494059598833,0.0433182949598431,0.182346115229037,0.0342212612863142,0.242556787651645,0.0610193757323099,0.0094695680842089,0.00156196554491384,0.00517256858917648,0.00169754708802245,0.00894163314366628,0.00190938542418017,0.00797145089226509,0.00147259793969927,0.00406581011113213,0.00122467581218164,0.0216080915435319,0.00308527220574618,0.0226372737845248,0.00819971885063392,0.0190562326707123,0.0053665644815114,0.0201845506853312,0.00385554184461182,0.0276698680612255,0.00640371330436257,0.0227658493274499,0.00331263520866848,0.0240861934936813,0.00920752985590251,0.0223138147416002,0.00639162714461385,0.0246702535297256,0.00460607184402917,0.0337821341570801,0.00822350817135866,0.194743796598057,0.0283290454937399,0.170608522347349,0.0645190299999535,0.165677633923189,0.0444704955080056,0.182137330595194,0.0344990737992912,0.245143775898244,0.0612142579274991,0.00949591183429661,0.00155170889802736,0.00517298910769941,0.00169746295508957,0.00891541450339088,0.00191914435818202,0.00799625180027668,0.0014642297721348,0.00406902871378181,0.00120574719658997,0.0215590829413179,0.00309973947281189,0.0225880437006525,0.00818106831813755,0.0190667453734556,0.00539890175738129,0.0201402255468973,0.00380675381844263,0.0275753629672856,0.00640513080466065,0.0226768456772065,0.00335855730892346,0.0242588759182761,0.00921847207104435,0.0224206819855451,0.00625359078434304,0.0246352952185397,0.00455768394167389,0.0338347313767873,0.00817783294883937
"10",10,0.197188756814551,0.028632578567334,0.170184063408126,0.0633538716302557,0.165362611461383,0.0436356678205829,0.183877464365922,0.0344315298223644,0.245213345462001,0.0615322130906632,0.00932329106939262,0.00153192575174962,0.0050981172552384,0.00167553805286016,0.00876701293445365,0.00186994711537281,0.00784320998956597,0.00144952555188599,0.00399980478840291,0.00120401407929098,0.0217849220689482,0.00311442580890195,0.0226578191923919,0.00820544114728412,0.0192217412510174,0.00543293704708412,0.0202047581749331,0.00385229793624328,0.0283249572115646,0.00654463634109109,0.0232545692653195,0.0033910298839307,0.023816185852846,0.00911547764180326,0.022057670951911,0.00631630497493095,0.0244632874232947,0.00457136103172677,0.0336043418507618,0.00818110598716388,0.196883279951624,0.0285926814561316,0.170871339742658,0.0646276091290937,0.166597578881612,0.0446233653035335,0.183573259533765,0.0347521246669136,0.248062670894519,0.0619156631338343,0.00935269057315986,0.00153308131373097,0.00509944970843151,0.00167191455723586,0.00874346870303975,0.00188437708594712,0.00787165499524272,0.00144278785087885,0.00400104939644201,0.00118586126317176,0.0217408996093337,0.00312695677403726,0.0226131664793384,0.00818824719858909,0.0192311488356554,0.00546283261926009,0.020168150902871,0.00381847164114907,0.0282139355868264,0.00655252917144907,0.0231597960128304,0.00343336816505149,0.0239804958416561,0.0091146477803831,0.0221528092828418,0.0061882190471973,0.0244196323272305,0.00451359573347839,0.0336366738374965,0.00810259066487357
