"","Julian","rcp26_Atl_gfdl_mean","rcp26_Atl_gfdl_sd","rcp26_Atl_hadgem_mean","rcp26_Atl_hadgem_sd","rcp26_Atl_ipsl_mean","rcp26_Atl_ipsl_sd","rcp26_Atl_miroc_mean","rcp26_Atl_miroc_sd","rcp26_Atl_noresm_mean","rcp26_Atl_noresm_sd","rcp26_Arc_gfdl_mean","rcp26_Arc_gfdl_sd","rcp26_Arc_hadgem_mean","rcp26_Arc_hadgem_sd","rcp26_Arc_ipsl_mean","rcp26_Arc_ipsl_sd","rcp26_Arc_miroc_mean","rcp26_Arc_miroc_sd","rcp26_Arc_noresm_mean","rcp26_Arc_noresm_sd","rcp26_Ind_gfdl_mean","rcp26_Ind_gfdl_sd","rcp26_Ind_hadgem_mean","rcp26_Ind_hadgem_sd","rcp26_Ind_ipsl_mean","rcp26_Ind_ipsl_sd","rcp26_Ind_miroc_mean","rcp26_Ind_miroc_sd","rcp26_Ind_noresm_mean","rcp26_Ind_noresm_sd","rcp26_Pac_gfdl_mean","rcp26_Pac_gfdl_sd","rcp26_Pac_hadgem_mean","rcp26_Pac_hadgem_sd","rcp26_Pac_ipsl_mean","rcp26_Pac_ipsl_sd","rcp26_Pac_miroc_mean","rcp26_Pac_miroc_sd","rcp26_Pac_noresm_mean","rcp26_Pac_noresm_sd","rcp85_Atl_gfdl_mean","rcp85_Atl_gfdl_sd","rcp85_Atl_hadgem_mean","rcp85_Atl_hadgem_sd","rcp85_Atl_ipsl_mean","rcp85_Atl_ipsl_sd","rcp85_Atl_miroc_mean","rcp85_Atl_miroc_sd","rcp85_Atl_noresm_mean","rcp85_Atl_noresm_sd","rcp85_Arc_gfdl_mean","rcp85_Arc_gfdl_sd","rcp85_Arc_hadgem_mean","rcp85_Arc_hadgem_sd","rcp85_Arc_ipsl_mean","rcp85_Arc_ipsl_sd","rcp85_Arc_miroc_mean","rcp85_Arc_miroc_sd","rcp85_Arc_noresm_mean","rcp85_Arc_noresm_sd","rcp85_Ind_gfdl_mean","rcp85_Ind_gfdl_sd","rcp85_Ind_hadgem_mean","rcp85_Ind_hadgem_sd","rcp85_Ind_ipsl_mean","rcp85_Ind_ipsl_sd","rcp85_Ind_miroc_mean","rcp85_Ind_miroc_sd","rcp85_Ind_noresm_mean","rcp85_Ind_noresm_sd","rcp85_Pac_gfdl_mean","rcp85_Pac_gfdl_sd","rcp85_Pac_hadgem_mean","rcp85_Pac_hadgem_sd","rcp85_Pac_ipsl_mean","rcp85_Pac_ipsl_sd","rcp85_Pac_miroc_mean","rcp85_Pac_miroc_sd","rcp85_Pac_noresm_mean","rcp85_Pac_noresm_sd"
"1",1,0.190547440345151,0.027629920549104,0.162233051798654,0.0585569477656412,0.199852013688236,0.0525196045232727,0.161054030696608,0.03033196401071,0.249805348189997,0.0618859266793363,0.0158142755873935,0.00253230920547162,0.0120477591643898,0.00389621975191915,0.0153070643845373,0.00327820586000406,0.0147089810196131,0.00268096187902632,0.00644600779517493,0.00186463511365387,0.0220298021203015,0.00317869425045423,0.0209781388972018,0.0075425362222931,0.0203920525975175,0.00585997923043666,0.0184834680695017,0.00348797589179705,0.0288147450101447,0.00666725130173775,0.0228218627714891,0.00333851211227785,0.0275075480766684,0.0102184610021155,0.0220189187094355,0.00624664325838805,0.0268596060268132,0.00502075695107782,0.0369164794337772,0.00891997486064047,0.169289829890269,0.0243865551577248,0.188097453419402,0.0683371531181079,0.270011856249044,0.0753181008883332,0.188281150370754,0.0359228831490286,0.274177246153663,0.0674803309637164,0.0182928886826425,0.00285334251609989,0.0294125714209498,0.00940086371200936,0.0370669468057739,0.00794700162962132,0.0270706507899158,0.00478957401051025,0.0120607794654088,0.00331681946061946,0.0227018856855504,0.00331435341045851,0.0244530191016218,0.00878753596666539,0.0252262716317035,0.00735077655116144,0.0188599390206707,0.00355874495823149,0.0286408244537513,0.00646537831750007,0.0267319110945037,0.00398259841452272,0.0332094370839048,0.0119394770362609,0.0292632478512637,0.00834322290879953,0.0299460822075326,0.00559187155304055,0.0448192178349891,0.0103090548916385
"2",2,0.19243060018521,0.0278740179167326,0.163107725896263,0.0588264176129991,0.202754921538437,0.0534002770733289,0.160516936354576,0.0301513490374263,0.253058652477433,0.0627489603917262,0.0155516799950725,0.00249332577614816,0.0119628041589313,0.00386562335157235,0.0150598558745474,0.00321937766085022,0.0144511007303133,0.00263428468922405,0.00632381416942532,0.00182820705421188,0.0217687906316665,0.00313159909580115,0.0215144841522973,0.00772071978998471,0.0204721821868949,0.00592718641850539,0.0187090795734974,0.00353329231465937,0.0284966546135385,0.00658760964996396,0.0228824019797199,0.00335369045949359,0.0274935485572866,0.0102328688526056,0.0221539276945509,0.00626857448187866,0.0267703214620309,0.00501305318826585,0.0373323183385936,0.00903277625773153,0.171392903541775,0.0246268996636307,0.190981959581462,0.0693627625073077,0.274431207902784,0.0766257129250903,0.189456812481818,0.036099180070221,0.275463479997145,0.0676261090020862,0.0179647208895499,0.00280276887538185,0.0288615363783039,0.00921526295702832,0.0366063875135762,0.00782605516675104,0.026830332304378,0.0047388025439605,0.0117264250347607,0.00321405604913069,0.0228676140311836,0.00333326795745956,0.0252433615275005,0.00903234436509931,0.0261705579444474,0.00758942312811702,0.0189205848948129,0.0035594183364162,0.0284316587122333,0.00639796020335913,0.0266496664544822,0.00396193517971679,0.0331166961392746,0.0119129156394819,0.0293666335896734,0.00838383393955776,0.0299346803252453,0.00559008244065419,0.0447640108064958,0.010294107695169
"3",3,0.195633128627196,0.0282847444503391,0.163934724951789,0.0591241882029046,0.202817442190364,0.0533547843618979,0.159531150673178,0.0300339197309775,0.256655421407584,0.0636657336844958,0.0153046942794672,0.00244397826183511,0.0118465445334289,0.0038293810184615,0.0147846235614185,0.00317064161983576,0.0142014115930348,0.00259152810640674,0.00618794192478285,0.00179002807666449,0.0213820116043369,0.00308729410082219,0.0221444614175014,0.0079078361786911,0.0199129545890548,0.00576828898566361,0.0186114405778223,0.00352545743870779,0.0277766119548329,0.00639160586388686,0.0230039025306286,0.00336852118778809,0.0275116147547262,0.0102467965046097,0.0221470319627336,0.00626210570906753,0.0264988535792934,0.00495280809413847,0.0384844282856618,0.00928458545418025,0.176405465642137,0.0254152993259716,0.19505458050602,0.0706707323470198,0.273733499567482,0.0763348530266423,0.191749689387578,0.0364625156938891,0.276365696157526,0.0677145271009169,0.0176941032966559,0.00276921179563762,0.0285449380789797,0.0091207815748354,0.0361853946391056,0.00775482886440153,0.0265795210721887,0.00469670982344643,0.0114589880716935,0.00314554153396013,0.023030557229898,0.00336724171271852,0.0261234611284091,0.00931236496508113,0.0261491291905118,0.00759645473306898,0.0188448283836113,0.00355308040715962,0.0279444269356011,0.00630326369636987,0.0265762487526244,0.00394683428476537,0.0328545421154217,0.0118426337163226,0.0294345773405875,0.00838435377612338,0.029916779791396,0.00559149750648164,0.0447952564571052,0.0102837590851279
"4",4,0.199601897603169,0.029016110587135,0.165691980314369,0.0598853620480938,0.20047265457289,0.0526396062010909,0.159807853643897,0.0301138677381171,0.260146170618448,0.0645350828211636,0.0150820119435982,0.00240311215879926,0.0116731411553398,0.00377073455798554,0.0145221747368814,0.00310710697516374,0.0139765508594382,0.00254796091492557,0.00606787262929831,0.00175449004220306,0.0211425785472467,0.00304291500145289,0.0229468337332889,0.00818604649888644,0.0191846095530478,0.00555264274757169,0.0182654871532581,0.00346671764456839,0.0271450392435041,0.00622439241741897,0.0232868009166979,0.00340925851016428,0.0274121386388529,0.0102222098894076,0.0219325105969478,0.00618705282201817,0.026184323472993,0.00489207606415867,0.0394317597612917,0.00949712040558455,0.183102624923711,0.0262873429716328,0.198093155405456,0.0716305467031346,0.267784698115251,0.0746103400928124,0.195484222421676,0.0372769030816367,0.275173553556846,0.0673503824622035,0.0174308994545507,0.00272902686749624,0.0282208274851525,0.00901754139219846,0.0359095391306465,0.00769964896914721,0.026209617198665,0.00462756261507985,0.0112227760784949,0.0030736528922357,0.0232668588765658,0.00340277443526796,0.0269692268645632,0.00958824420882447,0.0257554532631564,0.0074741656027287,0.0186864767696097,0.00352663843371508,0.0277587621394756,0.00624518560783921,0.0264668423251619,0.00392745910172357,0.0325979409339911,0.0117598120078576,0.0298138066394354,0.00847014464388831,0.029808884123015,0.00556637783472126,0.0446241273335581,0.0102113936386955
"5",5,0.204419975188448,0.029849334248269,0.168269202959285,0.0606993290295634,0.197316206302434,0.0517452296810724,0.161429920590485,0.0303505299151981,0.263505902473323,0.0654138640212823,0.014818830144844,0.00237045547348812,0.0115223713815951,0.00372803301930769,0.0143090725858851,0.00307184776036678,0.0137440418569587,0.00250958954450148,0.00595892184874327,0.00172229777822307,0.021245046156594,0.00305568531440506,0.0236221381919678,0.00842033831775966,0.0186882470573155,0.00538029451383548,0.0178768587243245,0.00338513426658139,0.0268458188360037,0.00615035411728561,0.0235778448561001,0.00345635247201046,0.0273019587659464,0.0102025604611085,0.0216630222206013,0.00611896459343562,0.0258424749125,0.00484508005688431,0.039887052454835,0.00960465949143276,0.190098272780421,0.0274985894560958,0.199852068912752,0.0721865770054688,0.262228967294886,0.0728923068237887,0.199463121082414,0.0379906344647307,0.273374954361124,0.066919552200045,0.0171652153727247,0.00269124566639567,0.0279274815557706,0.0089258019395586,0.0358585101695061,0.0077252416910707,0.0258164270587977,0.0045665920914294,0.0110471567554645,0.00302432211683221,0.0234005517972366,0.00341490139076706,0.0278674010028294,0.00989431783896754,0.0255382592931577,0.00740662145044286,0.0186196487472548,0.00351190552500484,0.0278954566371594,0.0062709481759082,0.0263447438542195,0.00391151599035313,0.0324588747727338,0.01172326510368,0.0303201921171866,0.00857702232346336,0.0297400460692458,0.00554736239735727,0.0441442167007887,0.0100933232092499
"6",6,0.210003301810908,0.0305229517046041,0.171018851144643,0.0616983755262792,0.195472328681599,0.0513310262433033,0.164376518007663,0.0309927867039752,0.264169776877638,0.0656366493666349,0.0145622495593245,0.00232307937223963,0.0112904690023963,0.00364496909495712,0.0141162918325576,0.00303007965397977,0.013537283475778,0.00247811161215717,0.00588120812741522,0.00170097028569774,0.0212620003064518,0.00306187481576158,0.024139192466903,0.00859618756070268,0.0184692395031806,0.00529461546137361,0.0176610097912004,0.00334726928522842,0.0266825092303105,0.00610268275611699,0.0238018609533615,0.00348895170124433,0.0271851583395671,0.0101597258249253,0.0215532827818696,0.00609381326516216,0.0257084060804507,0.0048212331254241,0.040023925528217,0.00959767084552865,0.196603714610907,0.0283456032432628,0.201457169640948,0.0728024425931235,0.258843118702038,0.0721309960399853,0.203151958915635,0.0387173511971464,0.272114380107465,0.0666307591611232,0.0168792644143491,0.00264309190472569,0.0276098894715396,0.00881685254009866,0.0359285424668791,0.00774922840006497,0.0254976788088523,0.00451319818144452,0.0109290800772949,0.00298748997824331,0.0234324565249846,0.00342779712435071,0.028811410990245,0.0102369582573369,0.0255985334147622,0.00741990457480241,0.0184893698601957,0.00348685637887748,0.0279052099590344,0.00627885801572747,0.0262389367995791,0.00389841280979886,0.0324409865408875,0.0117355201738269,0.0304640373198994,0.00859945709885496,0.0296567896287373,0.00553712295258858,0.0434193298723726,0.00991879943579153
"7",7,0.215369266428917,0.031307790341159,0.174274511058786,0.0629148169753165,0.195484976947743,0.0512350953597542,0.167579085572682,0.0315311072440952,0.263639206679408,0.0654473756656177,0.0143251288422441,0.00229138070437379,0.0110307400370054,0.00356395327372051,0.0139780281527066,0.00299597102805323,0.0133276396077117,0.00242841335886747,0.00581455714059201,0.00168420931377039,0.0210044562205408,0.00301967751571142,0.0246568624989675,0.00877466229871553,0.0182774749560667,0.00522100147453657,0.0176793440910565,0.00335686371408111,0.0265923218952439,0.00608087241771374,0.024101182145406,0.00354072894537538,0.0271057922616267,0.010137787106336,0.0216538699885608,0.0061230008718255,0.0258685988660753,0.00485494652628774,0.040079010050499,0.00959889078014178,0.202822335609221,0.0292228153672157,0.203154257754319,0.0735182152059436,0.257518565296896,0.0718615485644407,0.205564534478303,0.0391680778966455,0.272246577612749,0.0667495803658848,0.0166317996773548,0.00260789115796463,0.0272333416122849,0.00869733576675059,0.0360150985330393,0.00777590600633248,0.0251960171525129,0.00446504827183302,0.0108175186088133,0.00295117194425943,0.0233829578824025,0.00340492082442391,0.0293789320384713,0.0104484354599943,0.0258256867271294,0.00749560898873761,0.0181343721509706,0.00341471549069435,0.0280638357176431,0.00631010709860472,0.0262107928481911,0.00390305326067847,0.0326750160236697,0.0118145495288453,0.0302931177200742,0.00854288524728559,0.0294141000396606,0.00549797113752544,0.0428929208348538,0.00978510021435576
"8",8,0.218660212714475,0.032031362639901,0.177317473475175,0.0639124713547826,0.19718754263661,0.0516590671388359,0.170261119877825,0.0320222917174153,0.264231529491161,0.0653352468785802,0.0140912600585336,0.00224790039824608,0.010848277658207,0.00350250579153751,0.0138441778283172,0.00295603145294474,0.0131151275096252,0.00239199291942601,0.00571733363213308,0.00165295797212094,0.0207061616622479,0.00297962007692269,0.0249053929383166,0.00885358121554027,0.018238802417925,0.00519573733754536,0.0178352340208317,0.00337796216233929,0.0267723131411896,0.00611211865020184,0.0243709755629739,0.00357728422201461,0.0272799159905311,0.0101891881270715,0.0218161194359083,0.00615938456270127,0.0260795778333059,0.00488643849400046,0.0401207406618511,0.00958779499164671,0.208115728805191,0.0299454792182864,0.204292729089479,0.0739219839503046,0.25733463000373,0.0718929351580694,0.207109307573777,0.0395849439346124,0.273563401110638,0.0674088022647513,0.0164166453907971,0.00256826550194478,0.0269112918948445,0.00860604279742602,0.0358746242563168,0.00774472034822859,0.0248054678215888,0.00439038846281081,0.0107209774546325,0.00292319362116413,0.0233207698524928,0.00339103468593969,0.0295937537677087,0.0105257751844112,0.025966241153915,0.00756524102265374,0.0177260158369518,0.0033452750035137,0.0285703909818553,0.00641537888341513,0.0262868908996396,0.00391683018208537,0.0332252719560905,0.012005247915026,0.030362982500871,0.0085886816242788,0.0291837306496766,0.00545162710342776,0.0428607670704602,0.00975199592143375
"9",9,0.220451323228997,0.0321724442404364,0.179456201498126,0.0647472592032242,0.198556649720875,0.0521193028725777,0.173052382065474,0.0325589850978568,0.265716970771826,0.0658734597894913,0.0138701682911194,0.00222524667586199,0.0106965421256151,0.00346091973422397,0.0136723325848359,0.00292377248698579,0.0129194708994378,0.00236006717064187,0.0056044625862911,0.00162269041538576,0.0205004232707207,0.00295582422041741,0.0250745421176786,0.0088868941492234,0.0184207912024141,0.005221103332554,0.018012426622372,0.00341175974258215,0.0271985836084504,0.00621501589624949,0.0246033672904481,0.00361563790886308,0.0275265426588412,0.0102908771624599,0.0221451102472716,0.00625439135687143,0.0262306837929578,0.00492724811481516,0.0401068638855336,0.00953712508311553,0.212941330276998,0.0307131859074926,0.204702304493703,0.0741413242457904,0.257815438278871,0.0719505790186509,0.208368614773612,0.0397925774566985,0.275975052143042,0.0679890423064828,0.0162280501145347,0.00253950386486815,0.0267974867973501,0.00856745707952221,0.0355595580475242,0.00766216997840425,0.0243523162601059,0.00430394107488078,0.0105864873913302,0.00289356447551173,0.0232822377570724,0.00339096541995205,0.0297682134987063,0.0105750318950065,0.0260794963883352,0.0076242980777932,0.0174712665239658,0.00329733412292802,0.0289229641677308,0.00650439589537791,0.0263457872894842,0.00391484892033757,0.0336973372057484,0.012157949617967,0.0307133831152069,0.00869734958606186,0.0291739636021898,0.00544547653944148,0.0430576668747398,0.00978710479723934
"10",10,0.223007627303894,0.0325249721574877,0.180749065084335,0.0652483607267035,0.198054855141693,0.0517765953078715,0.174895881105971,0.0329402789714616,0.267648004829322,0.0663154400568493,0.0136423444721302,0.00218437590979171,0.0105305847923129,0.00340901128784599,0.0135223097366243,0.00288910558663506,0.0127122235120093,0.00231826796216395,0.00549676695248176,0.00158987423390322,0.02047196766571,0.00294451003301124,0.0256250106583825,0.00905518443839291,0.0187890261661822,0.00531856263277864,0.0183453702262456,0.00346851757221561,0.0275683454695543,0.00628882566022382,0.0248630297384901,0.00364479699843984,0.027760190069371,0.0103895982042415,0.0225777491742321,0.00636281110324412,0.0262592145735505,0.00492378016410921,0.0398623846150824,0.00946008694822195,0.21580528521354,0.0311321954958171,0.204361062942199,0.0740048239174022,0.257472067816519,0.0718832228126082,0.209901732050199,0.0400432142357764,0.279746862609705,0.0690979424996866,0.0160360174602521,0.00250183286092936,0.0267177743975974,0.008547141083475,0.0353732488175745,0.0076127153681027,0.0239939413670491,0.00424513773228163,0.0103628951358349,0.00283029150603187,0.0231124006805728,0.00336363865636544,0.0297909069540607,0.010594935733031,0.0260996492677841,0.00763543491477632,0.0173154728083062,0.00326817669277482,0.028979101641064,0.0065093563140822,0.0263026324492324,0.0039043074000299,0.0338118771355531,0.012205120057255,0.0311914908649816,0.00886415258459346,0.0292743357957014,0.00546596743454769,0.0431028152396319,0.00980977030361562
