"","year","rcp26_A_gfdl_mean","rcp26_A_gfdl_sd","rcp26_A_hadgem_mean","rcp26_A_hadgem_sd","rcp26_A_ipsl_mean","rcp26_A_ipsl_sd","rcp26_A_miroc_mean","rcp26_A_miroc_sd","rcp26_A_noresm_mean","rcp26_A_noresm_sd","rcp26_B_gfdl_mean","rcp26_B_gfdl_sd","rcp26_B_hadgem_mean","rcp26_B_hadgem_sd","rcp26_B_ipsl_mean","rcp26_B_ipsl_sd","rcp26_B_miroc_mean","rcp26_B_miroc_sd","rcp26_B_noresm_mean","rcp26_B_noresm_sd","rcp26_C_gfdl_mean","rcp26_C_gfdl_sd","rcp26_C_hadgem_mean","rcp26_C_hadgem_sd","rcp26_C_ipsl_mean","rcp26_C_ipsl_sd","rcp26_C_miroc_mean","rcp26_C_miroc_sd","rcp26_C_noresm_mean","rcp26_C_noresm_sd","rcp26_D_gfdl_mean","rcp26_D_gfdl_sd","rcp26_D_hadgem_mean","rcp26_D_hadgem_sd","rcp26_D_ipsl_mean","rcp26_D_ipsl_sd","rcp26_D_miroc_mean","rcp26_D_miroc_sd","rcp26_D_noresm_mean","rcp26_D_noresm_sd","rcp26_E_gfdl_mean","rcp26_E_gfdl_sd","rcp26_E_hadgem_mean","rcp26_E_hadgem_sd","rcp26_E_ipsl_mean","rcp26_E_ipsl_sd","rcp26_E_miroc_mean","rcp26_E_miroc_sd","rcp26_E_noresm_mean","rcp26_E_noresm_sd","rcp85_A_gfdl_mean","rcp85_A_gfdl_sd","rcp85_A_hadgem_mean","rcp85_A_hadgem_sd","rcp85_A_ipsl_mean","rcp85_A_ipsl_sd","rcp85_A_miroc_mean","rcp85_A_miroc_sd","rcp85_A_noresm_mean","rcp85_A_noresm_sd","rcp85_B_gfdl_mean","rcp85_B_gfdl_sd","rcp85_B_hadgem_mean","rcp85_B_hadgem_sd","rcp85_B_ipsl_mean","rcp85_B_ipsl_sd","rcp85_B_miroc_mean","rcp85_B_miroc_sd","rcp85_B_noresm_mean","rcp85_B_noresm_sd","rcp85_C_gfdl_mean","rcp85_C_gfdl_sd","rcp85_C_hadgem_mean","rcp85_C_hadgem_sd","rcp85_C_ipsl_mean","rcp85_C_ipsl_sd","rcp85_C_miroc_mean","rcp85_C_miroc_sd","rcp85_C_noresm_mean","rcp85_C_noresm_sd","rcp85_D_gfdl_mean","rcp85_D_gfdl_sd","rcp85_D_hadgem_mean","rcp85_D_hadgem_sd","rcp85_D_ipsl_mean","rcp85_D_ipsl_sd","rcp85_D_miroc_mean","rcp85_D_miroc_sd","rcp85_D_noresm_mean","rcp85_D_noresm_sd","rcp85_E_gfdl_mean","rcp85_E_gfdl_sd","rcp85_E_hadgem_mean","rcp85_E_hadgem_sd","rcp85_E_ipsl_mean","rcp85_E_ipsl_sd","rcp85_E_miroc_mean","rcp85_E_miroc_sd","rcp85_E_noresm_mean","rcp85_E_noresm_sd"
"1",1971,12214.9307360507,1221.49307360507,12590.3880797976,1259.03880797976,11843.3295686862,1184.33295686862,14821.6144772913,1482.16144772913,14062.3376074969,1406.23376074969,994.732438466728,99.4732438466728,1310.66041870532,131.066041870532,879.946651318392,87.9946651318393,1042.12882484454,104.212882484454,1114.29117286597,111.429117286597,4992.68046128628,499.268046128628,5516.28828956788,551.628828956788,4697.63927731441,469.763927731441,5658.24267628434,565.824267628434,5461.6800242445,546.16800242445,5853.72939116317,585.372939116317,5759.19673690473,575.919673690472,5638.68846317972,563.868846317972,6132.3540667571,613.235406675709,5116.57182724421,511.657182724421,142.040313415181,14.2040313415181,139.661216502826,13.9661216502826,157.511236650336,15.7511236650336,122.106435637018,12.2106435637018,139.100173107696,13.9100173107696,12214.9306956553,1221.49306956553,12590.3884286306,1259.03884286306,11843.3298717265,1184.33298717265,14821.6138202061,1482.16138202061,14062.3376421338,1406.23376421338,994.732711930262,99.4732711930262,1310.65987413044,131.065987413044,879.943667592716,87.9943667592716,1042.12623934259,104.212623934259,1114.28935139353,111.428935139353,4992.68211681033,499.268211681033,5516.28773273457,551.628773273457,4697.63911211416,469.763911211416,5658.24270348474,565.824270348474,5461.68027244819,546.16802724482,5853.72941620966,585.372941620966,5759.1969723309,575.91969723309,5638.68890153789,563.86889015379,6132.35702886618,613.235702886618,5116.57428389861,511.657428389861,142.040313415181,14.2040313415181,139.661216502826,13.9661216502826,157.511236650336,15.7511236650336,122.106435637018,12.2106435637018,139.100173107696,13.9100173107696
"2",1972,12566.5542866599,1256.65542866599,12977.3128486114,1297.73128486114,11880.0893745245,1188.00893745245,15287.2363506851,1528.7236350685,14292.3152155849,1429.23152155849,1043.33453870853,104.333453870853,1309.50662611787,130.950662611787,933.231265863798,93.3231265863798,973.129445860644,97.3129445860644,1099.44456285191,109.94445628519,4246.46913349878,424.646913349878,5152.16711214157,515.216711214157,4633.79518492186,463.379518492186,5250.81321989379,525.081321989379,5246.84753388016,524.684753388017,5776.97446840084,577.697446840084,5869.6812415895,586.968124158951,6198.86197428512,619.886197428512,5645.67616987318,564.567616987318,5869.12699038514,586.912699038514,150.729907844621,15.0729907844621,134.174608425446,13.4174608425446,175.383192304253,17.5383192304253,123.326116947043,12.3326116947043,132.52507306704,13.252507306704,12566.5545164148,1256.65545164148,12977.3136231373,1297.73136231373,11880.0887408963,1188.00887408963,15287.2357973984,1528.72357973984,14292.3158457243,1429.23158457243,1043.33501916139,104.333501916139,1309.50634587595,130.950634587595,933.229032688271,93.3229032688271,973.127427532219,97.3127427532219,1099.44319863021,109.944319863021,4246.47106127018,424.647106127018,5152.16674649542,515.216674649542,4633.79514140737,463.379514140737,5250.81290916803,525.081290916802,5246.84745211558,524.684745211558,5776.97461364097,577.697461364097,5869.68147526003,586.968147526003,6198.86243708326,619.886243708326,5645.67766248675,564.567766248675,5869.12878204033,586.912878204034,150.729907844621,15.0729907844621,134.174608425446,13.4174608425446,175.383192304253,17.5383192304253,123.326116947043,12.3326116947043,132.52507306704,13.252507306704
"3",1973,11229.4194448754,1122.94194448754,11552.8253769212,1155.28253769212,11534.6126910889,1153.46126910889,15505.4003415752,1550.54003415752,13475.8396117475,1347.58396117475,1504.38805293766,150.438805293766,1014.54009553843,101.454009553843,985.368355695625,98.5368355695624,1054.43953305931,105.443953305931,1135.84603102013,113.584603102013,5516.67332476678,551.667332476678,5570.88378652251,557.088378652251,4706.01557323741,470.601557323742,5785.70231728433,578.570231728434,4607.02219563104,460.702219563104,6387.47132176604,638.747132176604,6371.9481640519,637.19481640519,5365.37957385536,536.537957385537,5745.48320068557,574.548320068557,6489.41825498587,648.941825498587,148.970377798531,14.8970377798531,156.75050772311,15.675050772311,143.364060998352,14.3364060998352,150.439838709715,15.0439838709715,161.322497482061,16.1322497482061,11229.4191604665,1122.94191604665,11552.8253641409,1155.28253641409,11534.6127952571,1153.46127952571,15505.3973853698,1550.53973853698,13475.8407837765,1347.58407837765,1504.38936218874,150.438936218874,1014.54005056801,101.454005056801,985.365638734268,98.5365638734268,1054.43740525021,105.443740525021,1135.84470897485,113.584470897485,5516.67488087263,551.667488087263,5570.88356147201,557.088356147201,4706.01534017393,470.601534017393,5785.70221332267,578.570221332267,4607.0224155631,460.70224155631,6387.47082540323,638.747082540323,6371.94832936966,637.194832936966,5365.37979377793,536.537979377793,5745.48384840909,574.548384840909,6489.41903967067,648.941903967067,148.970377798531,14.8970377798531,156.75050772311,15.675050772311,143.364060998352,14.3364060998352,150.439838709715,15.0439838709715,161.322497482061,16.1322497482061
"4",1974,16485.3168788594,1648.53168788594,12986.2552124962,1298.62552124961,11963.2174126043,1196.32174126043,13338.8882663355,1333.88882663355,13653.8947986244,1365.38947986244,1101.23080388966,110.123080388966,954.50074267917,95.450074267917,940.447709761677,94.0447709761677,1506.09537486501,150.609537486501,1077.4119860606,107.74119860606,4718.37070943608,471.837070943608,4808.71686329323,480.871686329323,4471.64786820939,447.164786820939,4986.39986009317,498.639986009318,4737.42983354933,473.742983354932,5465.64323247791,546.564323247791,6405.84147148231,640.584147148232,5477.18837134654,547.718837134654,5787.95735252741,578.795735252742,6022.77328259562,602.277328259562,153.669557799446,15.3669557799446,154.51838516759,15.451838516759,157.239491338282,15.7239491338282,146.83109057041,14.683109057041,127.469085781018,12.7469085781018,16485.3177181551,1648.53177181551,12986.2554249347,1298.62554249347,11963.2174150097,1196.32174150097,13338.8883761629,1333.88883761629,13653.8950645333,1365.38950645333,1101.23141696082,110.123141696082,954.500264491371,95.4500264491371,940.44651236922,94.044651236922,1506.09333095489,150.609333095489,1077.41115377095,107.741115377095,4718.3720910024,471.83720910024,4808.71670315869,480.871670315869,4471.64756823378,447.164756823377,4986.39994362996,498.639994362997,4737.43008489237,473.743008489237,5465.64307714799,546.564307714799,6405.84159566503,640.584159566504,5477.18861789758,547.718861789758,5787.95762092901,578.795762092902,6022.77381939882,602.277381939882,153.669557799446,15.3669557799446,154.51838516759,15.451838516759,157.239491338282,15.7239491338282,146.83109057041,14.683109057041,127.469085781018,12.7469085781018
"5",1975,14314.6814742519,1431.46814742519,12104.7492189321,1210.47492189321,9539.94237170411,953.994237170411,11825.3458310247,1182.53458310247,12787.5559729116,1278.75559729116,1135.74697135921,113.574697135921,1050.90393286759,105.090393286759,627.793120667258,62.7793120667258,1047.60043973768,104.760043973768,879.71952302293,87.971952302293,5184.88951336704,518.488951336704,4775.52677641581,477.552677641581,5073.99172740065,507.399172740065,5214.83090677039,521.483090677039,4724.97288135409,472.497288135409,4978.50889881053,497.850889881053,6020.80745655085,602.080745655084,5503.24611280316,550.324611280316,5688.51450935872,568.851450935872,6020.49320564535,602.049320564535,147.010316223686,14.7010316223686,163.357403385226,16.3357403385226,152.651541760963,15.2651541760963,160.513459859952,16.0513459859952,140.517160164634,14.0517160164634,14314.6821615103,1431.46821615103,12104.7494136345,1210.47494136345,9539.94146746504,953.994146746504,11825.3452832271,1182.53452832271,12787.5568763713,1278.75568763713,1135.74774055439,113.574774055439,1050.90333587893,105.090333587893,627.792102065085,62.7792102065086,1047.59859126648,104.759859126648,879.718653322171,87.9718653322171,5184.89078811271,518.489078811271,4775.52661085933,477.552661085933,5073.99137687741,507.399137687741,5214.8311033837,521.48311033837,4724.97319609797,472.497319609797,4978.50892273469,497.850892273469,6020.80750064854,602.080750064854,5503.2462123014,550.32462123014,5688.51470538477,568.851470538477,6020.49358534743,602.049358534744,147.010316223686,14.7010316223686,163.357403385226,16.3357403385226,152.651541760963,15.2651541760963,160.513459859952,16.0513459859952,140.517160164634,14.0517160164634
"6",1976,13167.5027506157,1316.75027506157,13553.2599666071,1355.32599666071,11140.5702142264,1114.05702142264,12682.816545884,1268.2816545884,12375.5923202262,1237.55923202262,1173.03466192658,117.303466192658,1353.15227700861,135.315227700861,963.801743672195,96.3801743672195,1024.4785920947,102.44785920947,939.84386531324,93.984386531324,4861.89811037149,486.189811037149,5090.26739941412,509.026739941412,4740.92184982478,474.092184982478,5043.49364244147,504.349364244147,5532.28662791636,553.228662791636,5308.34301172814,530.834301172814,5858.4953388052,585.849533880519,5452.31380640774,545.231380640774,6127.06982049363,612.706982049363,5727.26621548161,572.726621548161,151.231583732112,15.1231583732112,154.831386103114,15.4831386103114,167.428069708723,16.7428069708723,160.573977328781,16.0573977328781,138.001294692317,13.8001294692317,13167.5032718842,1316.75032718842,13553.2595773751,1355.32595773751,11140.5695778714,1114.05695778714,12682.8165577433,1268.28165577433,12375.5918832573,1237.55918832573,1173.03521234728,117.303521234728,1353.151611108,135.3151611108,963.798447923818,96.3798447923818,1024.4771809034,102.44771809034,939.842293403307,93.9842293403307,4861.89897939087,486.189897939087,5090.26716409776,509.026716409776,4740.9217359901,474.09217359901,5043.49361236243,504.349361236243,5532.28691072473,553.228691072473,5308.34289058325,530.834289058325,5858.49521602734,585.849521602734,5452.31374281216,545.231374281216,6127.06968296211,612.706968296211,5727.26645302977,572.726645302977,151.231583732112,15.1231583732112,154.831386103114,15.4831386103114,167.428069708723,16.7428069708723,160.573977328781,16.0573977328781,138.001294692317,13.8001294692317
"7",1977,14979.524486531,1497.9524486531,12013.0056801318,1201.30056801317,10731.4669184245,1073.14669184245,14002.9128388764,1400.29128388764,12261.2811196587,1226.12811196587,1167.64424604218,116.764424604218,1134.80665866369,113.480665866369,786.227482822213,78.6227482822213,1077.92193476407,107.792193476407,1054.64494685246,105.464494685246,5272.26432477673,527.226432477673,5085.25350555832,508.525350555831,4862.58071028699,486.258071028699,5249.46454074585,524.946454074585,4565.83364696158,456.583364696158,5853.25292574574,585.325292574574,6578.84485393408,657.884485393407,5725.96012957234,572.596012957234,6166.31635567164,616.631635567164,5612.52266958502,561.252266958502,133.641304179466,13.3641304179466,148.707749994221,14.8707749994221,133.26306991994,13.326306991994,144.963007190899,14.4963007190899,166.19325262992,16.619325262992,14979.5248562538,1497.95248562538,12013.0058814178,1201.30058814178,10731.4662163718,1073.14662163718,14002.9134875236,1400.29134875236,12261.2813906238,1226.12813906238,1167.64478685667,116.764478685667,1134.80621383502,113.480621383502,786.225802498683,78.6225802498683,1077.92083553376,107.792083553376,1054.64361177581,105.464361177581,5272.2650048001,527.22650048001,5085.25324521343,508.525324521343,4862.58059999574,486.258059999574,5249.46483780806,524.946483780806,4565.83378308608,456.583378308608,5853.25286905525,585.325286905525,6578.84502639884,657.884502639884,5725.96015349736,572.596015349736,6166.31647065276,616.631647065276,5612.52312438598,561.252312438598,133.641304179466,13.3641304179466,148.707749994221,14.8707749994221,133.26306991994,13.326306991994,144.963007190899,14.4963007190899,166.19325262992,16.619325262992
"8",1978,13532.7650795015,1353.27650795015,13575.2599368818,1357.52599368818,12251.7487498848,1225.17487498848,13382.6435233297,1338.26435233297,13321.5349256402,1332.15349256402,1040.66390118082,104.066390118082,1059.60504713003,105.960504713003,947.272244811338,94.7272244811338,931.577520717814,93.1577520717813,1003.66138496823,100.366138496823,5244.14928769981,524.414928769981,5092.97569609828,509.297569609828,5627.23875409364,562.723875409364,5545.58196851656,554.558196851656,4693.22693717529,469.322693717529,5723.70531895457,572.370531895457,6226.37373356325,622.637373356325,5766.53702572042,576.653702572043,5931.36578279477,593.136578279477,5449.03400822138,544.903400822138,152.35999806361,15.235999806361,178.13709834408,17.813709834408,147.986356151347,14.7986356151347,158.12634193992,15.812634193992,139.833603756029,13.9833603756029,13532.7656053147,1353.27656053147,13575.2602187186,1357.52602187186,12251.7476934849,1225.17476934849,13382.6432613839,1338.26432613839,13321.5348615349,1332.15348615349,1040.6642457518,104.06642457518,1059.60453800472,105.960453800472,947.27056325825,94.727056325825,931.576554320274,93.1576554320274,1003.6605150913,100.36605150913,5244.15014291371,524.415014291371,5092.97552855976,509.297552855976,5627.23868742394,562.723868742395,5545.58192554509,554.558192554509,4693.22729064056,469.322729064056,5723.70547232062,572.370547232062,6226.37395683813,622.637395683813,5766.5370699529,576.653706995291,5931.36611000885,593.136611000885,5449.03449549146,544.903449549146,152.35999806361,15.235999806361,178.13709834408,17.813709834408,147.986356151347,14.7986356151347,158.12634193992,15.812634193992,139.833603756029,13.9833603756029
"9",1979,11757.4426744442,1175.74426744442,13170.1737922723,1317.01737922723,12498.5546300841,1249.85546300841,12780.7014818733,1278.07014818733,14360.660126219,1436.0660126219,872.326030964673,87.2326030964673,986.239203068869,98.6239203068869,1928.06136256616,192.806136256616,809.871868294476,80.9871868294477,1403.95475767472,140.395475767473,4806.16057164598,480.616057164597,4994.76887262771,499.476887262771,5173.55612192222,517.355612192222,4528.04857155613,452.804857155613,5161.74773654535,516.174773654535,5838.40252449127,583.840252449127,6091.06544267215,609.106544267216,5605.19073468734,560.519073468734,6782.08405967997,678.208405967998,5982.0672847604,598.20672847604,136.655532908064,13.6655532908064,139.315659946992,13.9315659946992,137.255126475514,13.7255126475514,139.768804955693,13.9768804955693,138.830683629398,13.8830683629398,11757.4422681223,1175.74422681223,13170.1739961184,1317.01739961184,12498.5539213112,1249.85539213112,12780.7003207564,1278.07003207564,14360.6595496778,1436.06595496778,872.326363617547,87.2326363617546,986.238867771727,98.6238867771727,1928.06069198423,192.806069198423,809.870862979851,80.9870862979851,1403.95354432963,140.395354432963,4806.16082895459,480.616082895459,4994.76884834024,499.476884834024,5173.55604237892,517.355604237893,4528.04859377562,452.804859377562,5161.74802780282,516.174802780282,5838.40270999293,583.840270999293,6091.0655468671,609.10655468671,5605.1908923155,560.51908923155,6782.08419697821,678.208419697822,5982.06742730312,598.206742730311,136.655532908064,13.6655532908064,139.315659946992,13.9315659946992,137.255126475514,13.7255126475514,139.768804955693,13.9768804955693,138.830683629398,13.8830683629398
"10",1980,13811.5840725668,1381.15840725668,12977.5822896868,1297.75822896868,13547.5029368727,1354.75029368727,13910.1650244075,1391.01650244075,12364.5143076275,1236.45143076275,1274.34175186624,127.434175186624,1219.94676198565,121.994676198565,1480.00781331876,148.000781331876,932.440987568767,93.2440987568767,1095.92059150819,109.592059150819,5935.53752421707,593.553752421707,5401.91004864246,540.191004864246,5375.99864679232,537.599864679232,5330.50395333265,533.050395333265,4742.87231767479,474.287231767479,5852.81419145369,585.281419145369,6361.48024138685,636.148024138685,5604.96799976656,560.496799976656,6118.71453637543,611.871453637543,6057.19916649311,605.719916649311,134.928147672835,13.4928147672835,164.565253731917,16.4565253731917,145.093074651187,14.5093074651187,147.336061880304,14.7336061880304,144.540882844733,14.4540882844733,13811.5837738993,1381.15837738992,12977.5820362238,1297.75820362238,13547.5028733635,1354.75028733635,13910.1645990482,1391.01645990482,12364.5148011694,1236.45148011694,1274.34219964815,127.434219964815,1219.94651780465,121.994651780465,1480.00719944824,148.000719944824,932.439818056391,93.2439818056391,1095.91618901952,109.591618901952,5935.53752603778,593.553752603778,5401.9097953142,540.19097953142,5375.99849291478,537.599849291479,5330.50390503361,533.050390503361,4742.87247067778,474.287247067778,5852.81419562681,585.281419562682,6361.48040055984,636.148040055984,5604.96802970416,560.496802970416,6118.71456928605,611.871456928605,6057.19918417919,605.719918417919,134.928147672835,13.4928147672835,164.565253731917,16.4565253731917,145.093074651187,14.5093074651187,147.336061880304,14.7336061880304,144.540882844733,14.4540882844733
