"","year","rcp26_Atl_gfdl_mean","rcp26_Atl_gfdl_sd","rcp26_Atl_hadgem_mean","rcp26_Atl_hadgem_sd","rcp26_Atl_ipsl_mean","rcp26_Atl_ipsl_sd","rcp26_Atl_miroc_mean","rcp26_Atl_miroc_sd","rcp26_Atl_noresm_mean","rcp26_Atl_noresm_sd","rcp26_Arc_gfdl_mean","rcp26_Arc_gfdl_sd","rcp26_Arc_hadgem_mean","rcp26_Arc_hadgem_sd","rcp26_Arc_ipsl_mean","rcp26_Arc_ipsl_sd","rcp26_Arc_miroc_mean","rcp26_Arc_miroc_sd","rcp26_Arc_noresm_mean","rcp26_Arc_noresm_sd","rcp26_Ind_gfdl_mean","rcp26_Ind_gfdl_sd","rcp26_Ind_hadgem_mean","rcp26_Ind_hadgem_sd","rcp26_Ind_ipsl_mean","rcp26_Ind_ipsl_sd","rcp26_Ind_miroc_mean","rcp26_Ind_miroc_sd","rcp26_Ind_noresm_mean","rcp26_Ind_noresm_sd","rcp26_Pac_gfdl_mean","rcp26_Pac_gfdl_sd","rcp26_Pac_hadgem_mean","rcp26_Pac_hadgem_sd","rcp26_Pac_ipsl_mean","rcp26_Pac_ipsl_sd","rcp26_Pac_miroc_mean","rcp26_Pac_miroc_sd","rcp26_Pac_noresm_mean","rcp26_Pac_noresm_sd","rcp85_Atl_gfdl_mean","rcp85_Atl_gfdl_sd","rcp85_Atl_hadgem_mean","rcp85_Atl_hadgem_sd","rcp85_Atl_ipsl_mean","rcp85_Atl_ipsl_sd","rcp85_Atl_miroc_mean","rcp85_Atl_miroc_sd","rcp85_Atl_noresm_mean","rcp85_Atl_noresm_sd","rcp85_Arc_gfdl_mean","rcp85_Arc_gfdl_sd","rcp85_Arc_hadgem_mean","rcp85_Arc_hadgem_sd","rcp85_Arc_ipsl_mean","rcp85_Arc_ipsl_sd","rcp85_Arc_miroc_mean","rcp85_Arc_miroc_sd","rcp85_Arc_noresm_mean","rcp85_Arc_noresm_sd","rcp85_Ind_gfdl_mean","rcp85_Ind_gfdl_sd","rcp85_Ind_hadgem_mean","rcp85_Ind_hadgem_sd","rcp85_Ind_ipsl_mean","rcp85_Ind_ipsl_sd","rcp85_Ind_miroc_mean","rcp85_Ind_miroc_sd","rcp85_Ind_noresm_mean","rcp85_Ind_noresm_sd","rcp85_Pac_gfdl_mean","rcp85_Pac_gfdl_sd","rcp85_Pac_hadgem_mean","rcp85_Pac_hadgem_sd","rcp85_Pac_ipsl_mean","rcp85_Pac_ipsl_sd","rcp85_Pac_miroc_mean","rcp85_Pac_miroc_sd","rcp85_Pac_noresm_mean","rcp85_Pac_noresm_sd"
"1",1971,14329.5986962301,1432.95986962301,14253.5650188767,1425.35650188767,13922.4189057086,1392.24189057086,17532.7148488615,1753.27148488615,15897.5616699754,1589.75616699753,3020.0814555715,302.00814555715,3215.78682698051,321.578682698051,3163.41715944194,316.341715944194,3180.5498896943,318.05498896943,2909.60672451546,290.960672451546,2776.97550655139,277.697550655139,4057.28601172051,405.728601172051,2782.1867638461,278.21867638461,2928.08513780719,292.808513780719,3191.39665899784,319.139665899784,4071.45768202905,407.145768202905,3789.55688390061,378.955688390061,3349.09236815249,334.909236815249,4135.09660445124,413.509660445124,3895.41575147066,389.541575147066,14329.6002186729,1432.96002186729,14253.5645401281,1425.35645401281,13922.4193246411,1392.24193246411,17532.7151248055,1753.27151248055,15897.5631287537,1589.75631287537,3020.08142990379,302.008142990379,3215.78710722495,321.578710722495,3163.41734853439,316.341734853439,3180.55161605011,318.055161605011,2909.60725738746,290.960725738746,2776.97652167365,277.697652167365,4057.28603591441,405.728603591442,2782.18381418483,278.218381418483,2928.08325771734,292.808325771734,3191.39511582057,319.139511582058,4071.4570837704,407.14570837704,3789.55654106196,378.955654106195,3349.09230226126,334.909230226126,4135.09622896375,413.509622896375,3895.4162210201,389.54162210201
"2",1972,15279.0384366603,1527.90384366603,15335.7187130176,1533.57187130176,14105.4613518252,1410.54613518252,17607.9406273512,1760.79406273512,15423.9651027451,1542.39651027451,3017.67787654946,301.767787654946,3369.91832848679,336.991832848679,3521.32653143094,352.132653143094,2909.78612896291,290.978612896291,3166.09942250664,316.609942250664,2171.79557756808,217.179557756808,3165.50469400626,316.550469400626,2769.73970521285,276.973970521285,2777.66872326708,277.766872326708,3733.45891618435,373.345891618435,3315.55044433478,331.555044433478,3571.70070137511,357.170070137511,3424.83340343056,342.483340343056,3984.78582367853,398.478582367853,4316.7359343331,431.67359343331,15279.0405807871,1527.90405807871,15335.7186199038,1533.57186199038,14105.4612050733,1410.54612050732,17607.9399051216,1760.79399051216,15423.9660919518,1542.39660919518,3017.67782773173,301.767782773173,3369.91855222823,336.991855222823,3521.32658795382,352.132658795382,2909.78705020378,290.978705020378,3166.09991721576,316.609991721576,2171.79664309392,217.179664309392,3165.50502061815,316.550502061815,2769.7376206486,276.97376206486,2777.66709445186,277.766709445186,3733.45763915226,373.345763915226,3315.55006671917,331.555006671917,3571.70060644398,357.170060644398,3424.83313070378,342.483313070378,3984.78586375517,398.478586375517,4316.73670325768,431.673670325768
"3",1973,14267.9670088576,1426.79670088576,14774.8394757831,1477.48394757831,13481.9369252584,1348.19369252584,17878.1392010633,1787.81392010633,15085.0064493255,1508.50064493255,3204.68964734825,320.468964734825,3258.52353292522,325.852353292522,2888.86506182654,288.886506182654,3131.07909073583,313.107909073583,3806.32380575933,380.632380575933,3420.84159743048,342.084159743048,2610.88235169414,261.088235169414,2536.49391326198,253.649391326197,2944.34091298427,294.434091298427,3374.0857934235,337.40857934235,3893.42426850806,389.342426850806,4022.70257035468,402.270257035467,3827.44435452871,382.744435452871,4287.90602653067,428.790602653067,3604.0325423583,360.40325423583,14267.9685019885,1426.79685019885,14774.8392212057,1477.48392212057,13481.937335383,1348.1937335383,17878.1363518158,1787.81363518158,15085.0071652821,1508.50071652821,3204.68962995161,320.468962995161,3258.52365474921,325.852365474922,2888.8651020803,288.88651020803,3131.07937797263,313.107937797263,3806.32409024861,380.632409024861,3420.84305137054,342.084305137054,2610.88222915354,261.088222915354,2536.49099243412,253.649099243412,2944.33928806913,294.433928806913,3374.08463844696,337.408463844696,3893.42342341895,389.342342341895,4022.70270816527,402.270270816527,3827.44419904414,382.744419904414,4287.90567320392,428.790567320392,3604.03355148956,360.403355148956
"4",1974,17758.4558182716,1775.84558182716,15836.6336164132,1583.66336164131,13459.0221317948,1345.90221317948,15388.3995748417,1538.83995748417,15126.1443959281,1512.61443959281,2955.34864437313,295.534864437313,3316.5999359477,331.65999359477,3066.45856730749,306.645856730749,3306.71750290865,330.671750290865,3264.55575734707,326.455575734707,3081.31722022024,308.131722022024,2206.69437312949,220.669437312949,2776.79317232483,277.679317232483,2875.74319535744,287.574319535744,3297.70805390247,329.770805390247,4129.10949959757,412.910949959757,3949.90474962812,394.990474962812,3707.46698183311,370.74669818331,4195.31167128375,419.531167128376,3930.5707794333,393.05707794333,17758.4575872204,1775.84575872204,15836.6333328923,1583.66333328922,13459.0223230663,1345.90223230663,15388.3993032842,1538.83993032842,15126.1445589054,1512.61445589053,2955.34868407393,295.534868407393,3316.60006936658,331.660006936658,3066.45865838173,306.645865838173,3306.71788993745,330.671788993745,3264.55588606579,326.455588606579,3081.31797766485,308.131797766485,2206.6940749814,220.66940749814,2776.79175451742,277.679175451742,2875.74164216369,287.574164216369,3297.70724006286,329.770724006286,4129.10961210653,412.910961210653,3949.9048961772,394.99048961772,3707.46686888308,370.746686888308,4195.31152686183,419.531152686184,3930.57152334249,393.057152334248
"5",1975,14799.299278604,1479.9299278604,14600.1684905922,1460.01684905922,11898.2671986087,1189.82671986087,14093.2071080586,1409.32071080586,14448.0669891708,1444.80669891708,2860.20870254931,286.020870254931,3320.01060770946,332.001060770946,3061.34650841524,306.134650841524,3124.85659939768,312.485659939768,3281.15432814604,328.115432814604,3663.32349863176,366.332349863176,2539.22320721691,253.922320721691,2330.53038660035,233.053038660035,2890.44108457378,289.044108457378,2966.49791575277,296.649791575277,4438.00569422726,443.800569422726,3655.94248263297,365.594248263297,3607.48078071188,360.748078071188,3828.30035472139,382.830035472139,3857.53951002897,385.753951002897,14799.3012238535,1479.93012238535,14600.1682124872,1460.01682124872,11898.2664172367,1189.82664172367,14093.2064890011,1409.32064890011,14448.0679809422,1444.80679809422,2860.20879932595,286.020879932595,3320.0106705646,332.00106705646,3061.34662330132,306.134662330132,3124.85673468453,312.485673468453,3281.15444130412,328.115444130412,3663.32422770796,366.332422770796,2539.22310930618,253.922310930618,2330.52934295989,233.052934295989,2890.44001251846,289.044001251846,2966.49689961205,296.649689961205,4438.00567824844,443.800567824844,3655.94227204852,365.594227204852,3607.48031697197,360.748031697197,3828.29990691796,382.829990691796,3857.54014944513,385.754014944513
"6",1976,14511.8435546124,1451.18435546124,16040.041301404,1604.0041301404,12995.7095305522,1299.57095305522,14738.3487523625,1473.83487523625,14973.3567269212,1497.33567269212,3159.94359781846,315.994359781846,3356.37573196193,335.637573196193,2894.36692854482,289.436692854482,3203.92112971081,320.392112971081,3104.73717917593,310.473717917593,3306.11946898665,330.611946898666,3038.71175657342,303.871175657342,2799.91023496017,279.991023496017,2884.89199068536,288.489199068536,2656.35816754841,265.635816754841,3684.10349695648,368.410349695648,3574.87757799878,357.487757799878,3775.04898978268,377.504898978268,4211.27070548393,421.127070548393,3978.53824998416,397.853824998416,14511.8449580832,1451.18449580832,16040.0405494138,1604.00405494138,12995.7069750224,1299.57069750224,14738.3481929986,1473.83481929986,14973.3555478673,1497.33555478673,3159.94364944246,315.994364944246,3356.37570289352,335.637570289352,2894.3669529701,289.43669529701,3203.92120478377,320.392120478377,3104.73739646329,310.473739646329,3306.12006072989,330.612006072989,3038.7115599252,303.87115599252,2799.90891183575,279.990891183576,2884.8911308161,288.48911308161,2656.35723211289,265.635723211289,3684.10326968214,368.410326968214,3574.87714247885,357.487714247884,3775.04873447794,377.504873447794,4211.27048270153,421.127048270153,3978.53865866394,397.853865866394
"7",1977,17193.489189673,1719.34891896731,14987.6218086249,1498.76218086249,13510.2347286511,1351.02347286511,16636.0930789628,1663.60930789628,14398.2435555492,1439.82435555492,3181.28432245554,318.128432245554,3437.41491593977,343.741491593977,2737.86076801707,273.786076801707,3257.50183945235,325.750183945235,2985.19061752722,298.519061752722,3330.57936689715,333.057936689715,2931.1916262039,293.11916262039,2318.53307008521,231.853307008521,2904.95495450686,290.495495450687,2907.66731231256,290.766731231256,3700.97440824934,370.097440824934,3604.39009751353,360.439009751352,3672.86974427261,367.286974427261,3843.02880432688,384.302880432688,3369.37415029873,336.937415029873,17193.49017801,1719.349017801,14987.6215880934,1498.76215880934,13510.2341198948,1351.02341198948,16636.0937152703,1663.60937152703,14398.243691443,1439.8243691443,3181.28436424377,318.128436424377,3437.41511653465,343.741511653465,2737.86074919051,273.786074919051,3257.50187926547,325.750187926547,2985.19065474834,298.519065474834,3330.57994749565,333.057994749565,2931.19143055939,293.119143055939,2318.53174701358,231.853174701358,2904.9543353184,290.495433531841,2907.66630225543,290.766630225543,3700.97433139593,370.097433139593,3604.38998167186,360.438998167186,3672.8692261846,367.28692261846,3843.02870885488,384.302870885488,3369.37451405483,336.937451405483
"8",1978,15883.6437382216,1588.36437382216,16287.6932131448,1628.76932131448,14221.5518372839,1422.15518372839,16406.7403484621,1640.67403484621,15238.7478401607,1523.87478401607,3092.15671069239,309.215671069239,3191.56418797615,319.156418797615,2894.43346802081,289.443346802081,3239.15211285385,323.915211285385,2846.88178831135,284.688178831135,2583.47969982039,258.347969982039,2584.31050241959,258.431050241959,3647.3903904235,364.739039042351,2955.5728997838,295.55728997838,2569.62736142307,256.962736142307,4134.36343666596,413.436343666596,4068.78360847692,406.878360847692,3977.4074349333,397.74074349333,3347.82977619895,334.782977619895,3952.03386986601,395.203386986601,15883.6446685733,1588.36446685733,16287.6930645691,1628.76930645691,14221.5514345389,1422.15514345389,16406.7398977266,1640.67398977266,15238.7477005312,1523.87477005312,3092.1568126418,309.21568126418,3191.56437302767,319.156437302767,2894.43348028529,289.443348028529,3239.15227002409,323.915227002409,2846.88179306335,284.688179306335,2583.48039743732,258.348039743732,2584.31038505971,258.431038505971,3647.38843316542,364.738843316543,2955.57228368743,295.557228368743,2569.62638665101,256.962638665101,4134.36358571201,413.436358571201,4068.78351780876,406.878351780876,3977.40702228172,397.740702228172,3347.82974175991,334.782974175991,3952.0348862687,395.20348862687
"9",1979,14279.8467689913,1427.98467689913,15372.1449723915,1537.21449723915,14110.3575174325,1411.03575174325,15271.3432006204,1527.13432006204,15894.9842051234,1589.49842051234,2948.03691528859,294.803691528859,3098.37823590125,309.837823590125,3246.73460623624,324.673460623624,3530.54336730552,353.054336730552,3320.04698018818,332.004698018818,2588.6896683266,258.86896683266,2835.38037318459,283.538037318459,4588.33808002576,458.833808002576,2757.2029288082,275.72029288082,3881.08148427967,388.108148427966,3594.41398184773,359.441398184773,4075.65938911069,407.565938911069,3397.18777204081,339.718777204081,3481.38528962536,348.138528962536,3951.14791923763,395.114791923763,14279.8468154969,1427.98468154969,15372.1451391141,1537.21451391141,14110.3571143662,1411.03571143662,15271.3422290189,1527.13422290189,15894.9833891452,1589.49833891452,2948.03706306802,294.803706306802,3098.37827891635,309.837827891635,3246.73466557576,324.673466557576,3530.54349712152,353.054349712152,3320.04701931874,332.004701931875,2588.6901675051,258.86901675051,2835.38024247703,283.538024247703,4588.33722868811,458.833722868812,2757.20230878617,275.720230878617,3881.08057306656,388.108057306656,3594.41365752546,359.441365752546,4075.65925853696,407.565925853696,3397.18766583534,339.718766583534,3481.38474451912,348.138474451912,3951.14825121235,395.114825121235
"10",1980,15648.6045560138,1564.86045560137,15616.3067872645,1561.63067872645,14596.8941289043,1459.68941289043,16746.7926048839,1674.67926048839,14418.2529917372,1441.82529917372,2948.12423290973,294.812423290973,3336.18408818548,333.618408818548,3249.02987882133,324.902987882133,3215.23413694309,321.523413694309,3390.80622553184,339.080622553184,3832.59473641889,383.259473641889,3417.98966854584,341.798966854584,4474.80420245723,447.480420245723,2877.06797405626,287.706797405626,2949.84587530027,294.984587530027,4579.88216243423,457.988216243423,3755.00405143781,375.500405143781,3832.84226121863,383.284226121863,3600.06584768131,360.006584768131,3646.14217357904,364.614217357904,15648.6043810221,1564.86043810221,15616.3065659494,1561.63065659494,14596.8941203235,1459.68941203235,16746.7921223362,1674.67921223362,14418.2493515512,1441.82493515512,2948.12432535773,294.812432535773,3336.18418252391,333.618418252391,3249.02992323957,324.902992323957,3215.23412512357,321.523412512358,3390.8062279856,339.08062279856,3832.59534614551,383.259534614551,3417.98935642576,341.798935642576,4474.80340038287,447.480340038287,2877.06700980409,287.706700980409,2949.84510738571,294.984510738571,4579.88179035945,457.988179035945,3755.00389873532,375.500389873532,3832.84222613591,383.284222613591,3600.06569604067,360.006569604067,3646.14284096807,364.614284096807
