"","year","rcp26_Atl_gfdl_mean","rcp26_Atl_gfdl_sd","rcp26_Atl_hadgem_mean","rcp26_Atl_hadgem_sd","rcp26_Atl_ipsl_mean","rcp26_Atl_ipsl_sd","rcp26_Atl_miroc_mean","rcp26_Atl_miroc_sd","rcp26_Atl_noresm_mean","rcp26_Atl_noresm_sd","rcp26_Arc_gfdl_mean","rcp26_Arc_gfdl_sd","rcp26_Arc_hadgem_mean","rcp26_Arc_hadgem_sd","rcp26_Arc_ipsl_mean","rcp26_Arc_ipsl_sd","rcp26_Arc_miroc_mean","rcp26_Arc_miroc_sd","rcp26_Arc_noresm_mean","rcp26_Arc_noresm_sd","rcp26_Ind_gfdl_mean","rcp26_Ind_gfdl_sd","rcp26_Ind_hadgem_mean","rcp26_Ind_hadgem_sd","rcp26_Ind_ipsl_mean","rcp26_Ind_ipsl_sd","rcp26_Ind_miroc_mean","rcp26_Ind_miroc_sd","rcp26_Ind_noresm_mean","rcp26_Ind_noresm_sd","rcp26_Pac_gfdl_mean","rcp26_Pac_gfdl_sd","rcp26_Pac_hadgem_mean","rcp26_Pac_hadgem_sd","rcp26_Pac_ipsl_mean","rcp26_Pac_ipsl_sd","rcp26_Pac_miroc_mean","rcp26_Pac_miroc_sd","rcp26_Pac_noresm_mean","rcp26_Pac_noresm_sd","rcp85_Atl_gfdl_mean","rcp85_Atl_gfdl_sd","rcp85_Atl_hadgem_mean","rcp85_Atl_hadgem_sd","rcp85_Atl_ipsl_mean","rcp85_Atl_ipsl_sd","rcp85_Atl_miroc_mean","rcp85_Atl_miroc_sd","rcp85_Atl_noresm_mean","rcp85_Atl_noresm_sd","rcp85_Arc_gfdl_mean","rcp85_Arc_gfdl_sd","rcp85_Arc_hadgem_mean","rcp85_Arc_hadgem_sd","rcp85_Arc_ipsl_mean","rcp85_Arc_ipsl_sd","rcp85_Arc_miroc_mean","rcp85_Arc_miroc_sd","rcp85_Arc_noresm_mean","rcp85_Arc_noresm_sd","rcp85_Ind_gfdl_mean","rcp85_Ind_gfdl_sd","rcp85_Ind_hadgem_mean","rcp85_Ind_hadgem_sd","rcp85_Ind_ipsl_mean","rcp85_Ind_ipsl_sd","rcp85_Ind_miroc_mean","rcp85_Ind_miroc_sd","rcp85_Ind_noresm_mean","rcp85_Ind_noresm_sd","rcp85_Pac_gfdl_mean","rcp85_Pac_gfdl_sd","rcp85_Pac_hadgem_mean","rcp85_Pac_hadgem_sd","rcp85_Pac_ipsl_mean","rcp85_Pac_ipsl_sd","rcp85_Pac_miroc_mean","rcp85_Pac_miroc_sd","rcp85_Pac_noresm_mean","rcp85_Pac_noresm_sd"
"1",1971,61.3092113408164,9.06025608018764,62.3740043011969,23.8364927457117,62.0979015922286,17.2298315894353,80.2218734416975,15.6294845273061,94.8161076183725,23.5872821891938,23.188070945383,4.72768178172897,13.2839158386702,4.61244175756516,26.7737737511365,6.750678974692,23.5254964483167,5.17998183724797,9.39482371245304,3.07074974342329,12.561538056003,1.80233349551623,17.7257155756759,6.97659399198463,13.2506293312955,3.64736232603475,13.4026992364868,2.55427843237354,18.5489081048416,4.36465201644848,19.5505699143306,2.95697550202051,17.7570013095077,6.66183287267435,15.646370966644,4.28979992362996,20.5606942982732,3.94060921163876,21.9947699749226,5.73486622963577,61.3544086128997,9.0126640394082,62.7029867802489,24.3886247510003,62.5432923692469,17.4497663402016,80.1195831125041,15.698149517923,95.6617014780187,23.6526105251878,23.2443631052624,4.65388758509517,13.2802400507362,4.56071955386514,26.7686461192642,6.76132172271115,23.5878596438979,5.12941908595203,9.37609098463722,3.05884579923039,12.5427782951455,1.80142480560197,17.7131097951989,6.93591155077837,13.1982389296868,3.66361781839816,13.3638618337833,2.53395741955325,18.5194584089996,4.36392979135883,19.4900657925084,2.97930116366554,17.8095848015415,6.71789507348178,15.7121727587003,4.27303473810581,20.574267948428,3.91516257939479,21.9596633005901,5.67111594533175
"2",1972,64.7279891793086,9.58114953102024,66.0811682596865,25.6097936877968,65.8218366462829,17.9992601312172,80.6605349290215,15.765481318075,92.216768569693,23.6751088338375,23.4930895362604,4.84149495759184,14.0533417795063,4.83469683723674,31.6203416461884,7.9249101779947,20.5280275277513,4.44912741301696,10.995051787795,3.60223839082475,9.19471926766218,1.31883869871184,13.9527185670989,5.34948334535156,13.2377027670193,3.6710931489764,12.4020710088027,2.37750608564557,22.2879616156878,5.24438250243538,15.9408191493075,2.42659188830439,16.4332098389103,6.15503173885142,15.7571086889351,4.315437393727,19.5114678999591,3.77546914639271,25.0171040996419,6.61967042671046,64.7033277337974,9.52564074554034,66.2356697076584,26.1173611463709,66.1164450276366,18.2189228944734,80.5541843249134,15.8585947065658,93.1268396449514,23.7324438696998,23.6132497962145,4.84139779090946,14.0322074489748,4.79814947718078,31.6315769265747,7.97695420198199,20.5835227261298,4.44197072860972,10.9915728963594,3.58279234899401,9.1765344750583,1.32132444334248,13.9234295470207,5.32255501761771,13.1336272294092,3.70337125857444,12.3701011227081,2.35202726698648,22.2413855601705,5.23258408799963,15.9169647886437,2.45810227972978,16.4884484783839,6.1730428489522,15.8460153828964,4.29045358528197,19.5153603615197,3.72463706653498,24.9727492207942,6.55655838736096
"3",1973,61.4854689665551,9.0341617785622,64.9587756992187,24.8856925390876,62.3104123785417,17.0147746721982,80.7149565422728,15.8336142553799,89.366297660516,22.4770841305819,26.4583199116659,5.32905893568368,13.0533662606047,4.54874090554872,23.6687928713512,5.99774639425539,23.9915011345762,5.25348047539271,14.1780951608669,4.7620054259406,15.0095156824589,2.15833608849986,11.2929384139638,4.35881597147498,12.5582611988957,3.36847309786655,13.290600653905,2.53301215433037,19.7511448225417,4.68379979978867,18.6739851551189,2.81909288810303,18.8723950428357,7.06592015482452,18.1457751453492,4.97634489975402,21.1799970848944,4.0511539823442,20.2281869929043,5.37837027791287,61.5688052283046,8.99639240878545,65.2436383174206,25.2291168714651,62.6940314810891,17.2564556265995,80.6540254258521,15.8915342273803,90.1102090271108,22.509936029383,26.518869112266,5.40532113552601,13.07665540714,4.50890910537862,23.6565744194742,6.0032905317902,24.0966909005542,5.24962907247587,14.1790954398879,4.73360215063769,15.0084208844904,2.17011581607051,11.2881287817185,4.34815495543806,12.4602774860596,3.41979422734116,13.2360209314429,2.50812030899122,19.7118857559791,4.67786924019034,18.6329943158673,2.84615052743041,18.9365632996379,7.11552221505228,18.2270705510155,4.9766928710692,21.2085387234536,4.01293738412804,20.2217421689317,5.34782893667551
"4",1974,75.8355832815209,11.3058301297111,68.6309711575525,26.6373889046203,60.3802537943732,16.7301086760737,70.2592678063919,13.7315729282908,89.4963961636024,22.5445566470609,23.3739089715091,4.81943255843437,13.5855324094256,4.68741751254645,25.8863301705203,6.52311991007329,23.6458939090781,5.13843186029834,11.2518483971314,3.66475050629205,13.7565316465254,1.98312443751893,9.386388872684,3.60973344449453,12.8105168332741,3.57669926360186,12.9697031974761,2.46570433734272,19.3027474446914,4.47063667382424,19.8400280262911,3.01944073057353,18.2431065348174,6.84981587594942,17.0568775227933,4.73377776585833,20.8602019740202,3.99697034284072,22.1387050039852,5.76706081029426,75.7369004965784,11.2612381345911,68.9262943979954,27.1861824350114,60.8144293217714,17.0882590925969,70.1520265765463,13.634819287554,90.2044364415734,22.558502984831,23.4096806575036,4.77125368945694,13.5933774278562,4.68510885966982,25.8467829053043,6.53303144718682,23.7708369535304,5.1514271344057,11.2250056758464,3.64470496330524,13.7391275201351,1.98689680230427,9.37209089723111,3.56078004400297,12.7737077554446,3.61131193908608,12.9396111225196,2.4695777651935,19.263806469026,4.47333972048136,19.8027049783723,3.0548422222223,18.2762028616812,6.89402740162968,17.1114568865414,4.67996778233135,20.8425664008042,3.94003151574773,22.0856900983993,5.72227456405351
"5",1975,63.3039448077379,9.35241577141056,64.6669549009678,24.6559702863463,56.1036331772429,15.1141796702549,64.7001344122466,12.4789718802249,85.0479729639057,21.5665079310224,22.18766007628,4.59771081626366,14.0827192157926,4.85424372578962,26.0726143879117,6.56930393165919,22.8386903330917,5.03072517354239,10.4884266442783,3.40644072039234,16.5586315666901,2.38211844225273,11.0157873468604,4.19146390867589,12.4219087233632,3.26470082111941,13.0656171624685,2.49849508454396,17.2638723536456,4.07138715177436,21.3798112045779,3.20795393726609,17.0167948241915,6.33227312650118,16.5814203926731,4.55446392784786,18.8163906243279,3.63437851200514,21.9899050647146,5.89022075259534,63.273085250286,9.34062969880219,64.7688467004375,25.1763732823576,56.4989618971434,15.3182758191139,64.6347683507072,12.4632147722944,85.733252004241,21.6462698845426,22.2495883684684,4.61181963770348,14.0637028049173,4.80756737026529,26.0277926958596,6.56360667150671,22.8932871128881,5.00479402762799,10.4934530053208,3.39166692283152,16.5410824157146,2.40145875201802,10.9990017880868,4.17292581603057,12.3470987487858,3.29694834565587,13.0252308181529,2.47193541864526,17.2324481413596,4.06070878966015,21.3410244815251,3.25213393529174,17.0590671222766,6.38327157464546,16.7005796056338,4.59309798825921,18.8349160109585,3.61302631341773,21.9464789128017,5.85410449839149
"6",1976,61.7118717867389,9.12273590414044,69.3005033378417,27.0704311528991,59.0114272983186,16.1809227975749,68.2743182405442,13.1950005321243,88.2057146518381,22.4133659388719,24.2929140178995,4.99713714942675,13.791965562168,4.78033308519837,24.8879824338748,6.28518554782607,24.1785719518986,5.24652558866386,10.3122548442483,3.36384467644076,15.036739593379,2.1561823993834,13.3185805643901,5.1555734137276,14.7115382518049,3.93096909396213,13.0389996428494,2.4916854738246,15.1198930201759,3.62294804108642,17.909253040992,2.72783956167821,17.299762714948,6.34136593075642,17.3456297474404,4.8444283592272,20.9004073563654,4.01600448887585,22.839874873009,6.08053692212202,61.7635800867752,9.06460626749561,69.4223545052186,27.4259509131378,59.2852302303899,16.3897716580605,68.0658387140422,13.2579326169569,88.9403808287804,22.4129952844332,24.3035185488895,4.95259668918071,13.7853928689154,4.74130851964788,24.9319734395442,6.32508165191487,24.2167218995833,5.22410124191638,10.3032880592662,3.34843828855866,15.0181387435844,2.16252249922363,13.3054275504243,5.09009450062711,14.6450116347628,3.93593667423818,12.996285043722,2.4887453468277,15.1050121012741,3.644862990109,17.8786265655999,2.7457448160535,17.2969312070272,6.37631112502871,17.3927211216113,4.81424137146458,20.9377222339856,3.99413637899065,22.7309448349886,6.01490788071106
"7",1977,73.8217133053511,10.9537545207706,66.9313218231119,25.3797843418083,62.3979529664429,17.152233504842,76.8314865185813,14.8216809810808,84.1352803159509,21.1883762624607,24.5801868428836,5.03139897362715,14.7248010088558,5.10317647951869,21.3048189574715,5.40232629011132,24.030784436186,5.20144744417219,10.2426279429794,3.27764388602882,14.9973676619989,2.15430307921356,12.9103479944669,4.97102684523861,11.4717578383508,3.09024699802759,13.0281123313633,2.50891335686898,16.743710776379,3.92154824159659,17.9298381478978,2.6951900560073,17.0267357009001,6.25763700788363,17.1333173360635,4.76258964721043,19.2628453215567,3.68804585068555,18.4555603489016,4.93031590574311,73.746776561667,10.9245504699029,67.1548028838486,25.7861409778064,62.6828929406276,17.2589048882668,76.6509498775078,14.9526063581759,84.6762367371206,21.2224492964856,24.6750884258555,5.07685915589112,14.7709566671594,5.07228830535198,21.3475840481848,5.40870443685164,24.0960775718579,5.24896436656612,10.2348621578044,3.27802236947847,14.9836777344125,2.15766130416831,12.8852404171653,4.93596272447537,11.3944328933344,3.11552951101895,12.978696328752,2.47182172243991,16.7216402282836,3.9157705476655,17.8775514166285,2.71947361139347,17.0661470979245,6.309631069408,17.2432310811179,4.73462902148644,19.2604042513966,3.65228053645085,18.4353670715661,4.88493347964346
"8",1978,67.4992406998053,9.982060366294,71.7904759970422,27.7086301337593,65.0645627976238,17.8275515397442,74.7430040428762,14.4148531709269,90.4059964300456,23.0951320417102,24.7434253050135,5.09738837053675,13.1443693701232,4.54853629940338,23.4875684178376,5.94011721037393,23.1903755001399,5.00065555189451,9.98780944162289,3.15224817712914,11.4308174250252,1.62631771190751,11.439765140354,4.33970516183349,17.7791909174173,4.91977366908613,13.3003128764069,2.56564671657285,14.6286871475986,3.5390915433636,20.1688726313288,3.08579698361679,19.2167094174411,7.17659800972106,18.4578686698603,5.13462611034577,16.6156226615251,3.20499346899801,22.8003298542931,6.03705275978137,67.5269207417097,9.95601919736557,72.0252011068299,28.2102491573644,65.5399053747793,18.2010761728816,74.6421585167949,14.5216943195434,91.2027519099046,23.189625126992,24.8123875240312,5.1133885882647,13.1691962913017,4.51441394377949,23.5345121140157,5.93799995535541,23.2961061671127,5.05310984818064,9.99159558745899,3.16310894390006,11.4270516364127,1.63498871869883,11.4394895603944,4.31709533056211,17.6438350764958,4.96787522983525,13.2750011649538,2.54653375563044,14.601454828637,3.55426201255721,20.1010051547986,3.08225659982371,19.2926000703257,7.2059876003994,18.5681069124516,5.12359676814563,16.601386970334,3.17371838580401,22.7439095345136,5.98426214178066
"9",1979,60.1685409806897,8.91191719061252,67.7001792731738,25.9989783019124,64.5268278293371,17.7639509861297,71.3371727135623,13.8276679142505,94.5160424476556,23.5254049531921,21.897505173939,4.43787780944887,12.3210950841084,4.26473142575797,28.400162427851,7.10736751281574,25.6509008212694,5.51461847840182,12.4666384222125,3.99262586002137,11.5096033897879,1.65952565293007,12.442814588237,4.83059575640736,20.7514902022946,6.04137103392653,12.5294232789154,2.39890993461015,23.2787544426443,5.5199607656383,17.3344050796997,2.63263289642529,18.9004668529378,7.12985151652845,15.9586448973524,4.35800665539985,17.2279996952519,3.30831082074777,22.7787698359289,5.9786605086828,60.1896696367574,8.84446770566955,67.8657147672156,26.4201231495939,64.8736244958935,18.0969470811857,71.2558260892731,13.779075354241,95.3642954060995,23.5512433356991,21.9840455018459,4.45803467785252,12.3296770469206,4.23014816926346,28.4475557799489,7.07709385868175,25.7257927432039,5.51453360580845,12.4452528368201,3.98096287781287,11.4881708825601,1.65688773650074,12.4188895221547,4.78438392861395,20.6698728008594,6.05447721113285,12.4678106421552,2.38300226442258,23.2409361722514,5.51625059819323,17.280509611174,2.64393514473917,18.9665601238479,7.18964354314353,16.0047671627983,4.33158096390901,17.2348791434516,3.26969975854962,22.7409186311773,5.90821385406527
"10",1980,66.9007055573082,9.92286686958518,68.847743830737,26.4354064497051,63.3887573575055,17.8742074479577,77.4381200974034,15.1225912673273,84.4942197213229,21.334085764627,23.544323510578,4.81028599687538,13.4992742070928,4.67387298215036,26.4101395631137,6.62067778125499,23.7175628182894,5.15344965063997,12.4664898974306,4.02635513543906,17.6847603155075,2.53394205597629,15.0596025350324,5.8873304768133,21.5160970714673,6.02278921348269,13.0538777542985,2.48790329284547,16.8179678915492,3.88319036938931,21.8034005640996,3.27756595446083,17.8989701284888,6.65711005162001,18.042604811288,4.98957074431988,17.6973853246881,3.4062765389214,20.4503941126096,5.29169971251333,66.8698356040359,9.85492426413222,69.0067213228613,26.912498378726,63.7575971061405,18.2319326304463,77.2684282200763,15.0592094071178,85.1916990789634,21.4699739187121,23.5541430813593,4.79909130907551,13.4947387483713,4.60771456866811,26.4857103972703,6.66849604583893,23.7543675115752,5.12914423282445,12.4447099466777,3.99844295622981,17.6573978017849,2.54895266055045,15.0221957760885,5.86129010407512,21.4177236113555,6.08665629084034,13.0255816975412,2.49187154469781,16.7803468420239,3.8949685137836,21.7238594939438,3.32830302783544,17.9038503666342,6.67919878777015,18.1265577091261,4.94977323001069,17.6785928807071,3.36902611823843,20.4159758125,5.23977114629007
